paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p1_dstar_gru_dispatch,IEEE Access,D. Gap statement,18,77,77,78,4,PASS,,"At the intersection, two gaps emerge from the literature reviewed here. **(G1)** We found no reproducible public curtailment-risk early-warning benchmark that combines an onset protocol with seeded statistics; existing curtailment work is c"
mintou_p1_dstar_gru_dispatch,IEEE Access,III. The Curtailment-Risk Benchmark,19,83,83,29,2,PASS,,"The benchmark is defined by five design decisions, each stated with its rationale. The construction is fully implemented in `src/powergrid_benchmark/mintou_real_curtailment.py` (run version `public_rts_curtailment_v5_onset_eval`); every rul"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Method-independent task construction,20,87,87,52,4,PASS,,"The substrate is the RTS-GMLC day-ahead hourly series [6]: system-aggregated load, wind, and solar for a full year (8760 hours). A **fixed reference operating policy** converts these inputs into a curtailment-risk proxy target. It does not "
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Method-independent task construction,21,94,94,77,6,REVISE,P1_STRONG_CLAIM_CHECK,"where $r_t$ is available renewable power (wind + PV), $d_t$ is load, and $y_t \in [0,1]$ is the reference-policy curtailment-risk proxy. The cap represents an SNSP-class instantaneous non-synchronous penetration rule [4]. Two properties fol"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Method-independent task construction,22,96,96,53,3,PASS,,"Each forecasting method sees the same seven hourly features: load, wind, PV, net load, load ramp, renewable share, and a topology-stress proxy computed from RTS-GMLC branch ratings. The features form 48-hour windows and are z-normalized wit"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Method-independent task construction,23,100,100,37,1,PASS,,"**Fig. 1.** Reference-policy curtailment-risk proxy target. (a) Full-year proxy-rate series under the fixed 70% SNSP-type policy, with temporal fit, validation, and test boundaries. (b) Monthly sparsity of nonzero and threshold-significant "
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Temporal protocol,24,104,104,62,2,REVISE,P1_STRONG_CLAIM_CHECK,"The split is strictly temporal: the first 70% of target hours form the training window, whose final 15% (hours 5212–6131) is a validation slice for model selection and calibration, and the last 30% (2628 hours) is the test split. There is n"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Onset-slice evaluation,25,108,108,70,3,PASS,,"Overall MAE on a series that is 91.8% zeros mostly measures whether a method predicts ""no curtailment"" smoothly — a job persistence does almost optimally. The operational value of a curtailment-risk tool, by contrast, concentrates at the **"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Onset-slice evaluation,26,114,114,40,4,PASS,,"i.e., significant curtailment at the target hour that was absent at observation time (Fig. 1c). The test split contains 57 onset hours at $h{=}1$ and 172 at $h{=}24$. Let $\mathcal{I}_h$ denote the corresponding onset index set. The restric"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Onset-slice evaluation,27,120,120,54,3,PASS,,"For onset detection, each continuous prediction is thresholded into a warning. The threshold is calibrated separately for each method on the *training-window* onsets by maximizing F1 over a 40-point quantile grid, and is then applied unchan"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Onset-slice evaluation,28,126,126,38,3,PASS,,"A complementary event metric evaluates exceedance of a high-curtailment threshold. That threshold is the median positive training rate, floored at 0.02. A stress-subset MAE over test hours in the top training quartile of renewable share com"
mintou_p1_dstar_gru_dispatch,IEEE Access,D. Statistical protocol,29,130,130,97,5,PASS,,"Every stochastic method runs with ten fixed seeds; deterministic methods (persistence, seasonal, ridge, raw-feature k-NN) contribute single rows and are compared descriptively by their means. Pairwise comparisons between the framework and e"
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Reference-cap choice and sensitivity of the task,30,134,134,57,4,PASS,,"The 70% cap lies within the documented SNSP operating range; the Irish limit increased from 50% toward 75% [4]. It is a benchmark parameter rather than a truth claim. Table 1 recomputes the target at caps 0.60, 0.70, and 0.80. Tightening th"
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Reference-cap choice and sensitivity of the task,31,136,136,32,3,PASS,,All model comparisons use cap 0.70. Whether the naive-baseline ordering and retrieval sign reversal persist at the other caps remains untested. The series-level sensitivity characterizes that future experiment without implying a method-leve
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Reference-cap choice and sensitivity of the task,32,138,138,19,1,PASS,,"**Table 1.** Series-level sensitivity of the benchmark target to the acceptance cap (from `figures/cap_sensitivity.json`; onset threshold 0.02, test split = final 30%)."
mintou_p1_dstar_gru_dispatch,IEEE Access,F. Construct validity and method-independent target construction,33,148,148,117,5,PASS,,"Construct validity depends on separating the forecasting target from the algorithms evaluated against it. The fixed reference policy therefore computes the proxy target once, before any model is fitted, and the resulting series is shared un"
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,34,154,154,52,2,PASS,,Figure 2 locates the trainable and retrieval stages inside the method-independent benchmark and evaluation pipeline. The target and temporal/onset protocol are fixed before model fitting; the fit-split retrieval bank and prediction head mee
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,35,158,158,32,3,PASS,,**Fig. 2.** End-to-end benchmark and operating-state retrieval architecture. Solid arrows denote the prediction path. The lower strip lists evaluation outputs rather than trainable inputs and therefore cannot feed information back into the 
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,36,160,160,28,2,PASS,,"**Formal definitions.** Let \(X_t=[x_{t-47},\ldots,x_t]\in\mathbb{R}^{48\times 7}\) be a standardized observation window and \(E_\theta\) the shared recurrent encoder. Its final state and direct regression output are"
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,37,166,166,15,1,PASS,,The encoder parameters are fitted only on the fit split by the horizon-specific squared-error objective
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,38,172,172,33,2,PASS,,"The bank \(\mathcal B_h=\{(E_{\theta^\star}(X_q),y_{q+h}):q\in\mathcal T_{\mathrm{fit}}\}\) uses the same frozen encoder as the query branch. For a query \(t\), distance and the \(k\)-neighbor index set are"
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,39,179,179,7,1,PASS,,The retrieval estimate and convex blend are
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,40,189,189,14,1,PASS,,"The blend coefficient is chosen once on the validation slice, never on test outcomes:"
mintou_p1_dstar_gru_dispatch,IEEE Access,IV. The Operating-State Retrieval Framework,41,198,198,40,2,PASS,,These definitions also clarify the paper's use of *Siamese*: the query and bank branches share \(E_{\theta^\star}\); there is no separately optimized contrastive loss. The learned geometry is induced by the forecasting objective and tested 
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Design,42,202,202,23,2,PASS,,"DSTAR-GRU (""Digital-twin Siamese Temporal Alignment and Retrieval GRU"") is the retrieval component under evaluation — named for identification, not advocacy. It has three stages:"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Design,43,208,208,36,2,PASS,,"The framework view is that stage 2 is a pluggable decision-support mechanism — ""what happened after the most similar past operating states?"" — whose value must be measured, not assumed. Everything in Sections IV-B/C exists to measure it."
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Baselines,44,212,212,127,6,PASS,,Eight baselines span the method families the benchmark should discriminate (Table 2). **Persistence** uses the last observed curtailment rate and provides the required naive reference. **Seasonal-24h** uses the same hour on the previous day
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Mechanism ablations,45,216,216,75,4,PASS,,"Five single-switch ablations isolate the design choices. **NoSiamese** retrieves in raw feature space but retains the GRU head and blend, distinguishing it from kNN-RawFeature. **NoRetrievalBank** uses only the GRU head; **SmallBank** restr"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Mechanism ablations,46,218,218,8,1,PASS,,**Table 2.** Methods (from the run configuration; descriptions abbreviated).
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Fairness statement,47,243,243,92,7,PASS,,"All learned methods share the feature set, 48 h windows, normalization statistics, temporal splits, MSE loss, Adam optimizer (10⁻³), 20-epoch ceiling with best-validation checkpointing, batch size 256, and ten seeds. Recurrent models also s"
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Hyperparameter disclosure,48,247,247,9,1,PASS,,**Table 3.** Complete hyperparameter disclosure (source: pipeline constants in `mintou_real_curtailment.py`).
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Computational footprint,49,268,268,57,3,PASS,,The full protocol contains 14 methods over two horizons and archives 208 method--seed results (ten seeds for stochastic methods; one exact run for deterministic methods). A single framework train-and-evaluate pass takes roughly 7 s at the 1
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Overall accuracy and naive-reference performance,50,276,276,98,6,PASS,,"Table 4 and Fig. 3 report the per-horizon leaderboards. At the 1 h horizon, **Persistence has the lowest curtailment MAE (0.00691)**, 10.3% below the framework (0.00770, rank 4/14, std 0.00026 over ten seeds). At 24 h, raw-feature kNN is th"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Overall accuracy and naive-reference performance,51,278,278,76,5,PASS,,"The event-level metric sharpens the same point at the day-ahead scale. At 24 h, the framework's high-curtailment event F1 is 0.034 versus 0.340 for persistence. The MSE-trained regressors tend toward near-zero predictions on a mostly-zero s"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Overall accuracy and naive-reference performance,52,280,280,12,3,PASS,,"**Table 4.** Leaderboards (mean over seeds; from `real_curtailment_leaderboard.csv`). PS = Persistence, S24 = Seasonal-24h. Bold = framework."
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Overall accuracy and naive-reference performance,53,322,322,45,2,REVISE,P1_STRONG_CLAIM_CHECK,**Fig. 3.** Leaderboards at both horizons for curtailment-rate MAE (left; error bars = std over 10 seeds where applicable) and onset F1 (right). The framework is competitive but never first; the identity of the leader changes with horizon a
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Onset warning: the operationally relevant slice reorders the field,54,326,326,104,5,REVISE,P1_STRONG_CLAIM_CHECK,"The onset slice inverts the overall-MAE picture. At 1 h, Persistence collapses from first to last-tier (onset F1 0.042 — structurally, it cannot warn at hours defined by change), while the learned retrieval family occupies the top: LSTMEnco"
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Onset warning: the operationally relevant slice reorders the field,55,328,328,80,4,PASS,,"At 24 h — the day-ahead warning task that matters for scheduling — the leaders are **Ridge (onset F1 0.236) and raw-feature k-NN (0.226)**, followed by the framework's own NoSiamese ablation (0.225). The framework ranks seventh (0.177). Day"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,56,332,332,14,1,PASS,,"Fig. 4 presents the paper's central component result, drawn from the Holm-corrected comparisons in `real_curtailment_significance.csv`."
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,57,334,334,111,5,PASS,,"**At 1 h, learned-embedding retrieval is supported by its matched controls.** On curtailment MAE, the framework is significantly better than NoSiamese (raw-space retrieval; Holm p = 0.00172), NoRetrievalBank (no retrieval; p = 0.00402), Sma"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,58,336,336,72,4,PASS,,"**At 24 h onset warning, the same mechanism is significantly harmful on this benchmark.** The framework's onset F1 (0.177) is below NoSiamese (0.225, Holm p = 0.00172), NoRetrievalBank (0.207, p = 0.00394), and LSTM (0.211, p = 0.00384). ML"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,59,338,338,33,3,PASS,,Both directions carry corrected significance. The controlled comparison therefore provides evidence of a horizon-dependent sign reversal for this retrieval mechanism on the stated benchmark. Section VII examines explanations consistent with
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,60,342,342,52,2,PASS,,"**Fig. 4.** Component comparisons under Holm-adjusted Mann–Whitney tests (10 seeds). (a) At 1 h, DSTAR-GRU has significantly lower curtailment MAE than NoSiamese, NoRetrievalBank, SmallBank, LSTM, and MLP among the controls shown. The retri"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,61,344,344,71,4,PASS,,"Figure 5 exposes the seed-level distributions behind the principal point estimates. At 1 h, DSTAR-GRU has lower overall MAE than NoRetrievalBank and MLP, whereas NoRetrievalBank has lower onset MAE. At 24 h, DSTAR-GRU remains below those le"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. The scale-dependent utility of retrieval: significant in both directions,62,348,348,55,4,PASS,,**Fig. 5.** Seed-level uncertainty for DSTAR-GRU and two learned non-retrieval comparators. Boxes show the interquartile range and median over 10 seeds; whiskers extend to 1.5 times the interquartile range. Panels report overall and onset M
mintou_p1_dstar_gru_dispatch,IEEE Access,D. Stress subset,63,352,352,46,3,PASS,,"On the high-renewable-share test subset (top training quartile of renewable share), the ordering mirrors the overall MAE tables (framework 0.0222 at 1 h vs. Persistence 0.0199; 0.0463 at 24 h vs. NoSiamese/kNN 0.0435): the framework degrade"
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,64,356,356,131,7,PASS,,"A single leaderboard obscures the extent to which the metric determines the preferred method. Figure 6 ranks the nine best aggregate profiles at each horizon over five readouts: overall MAE, onset MAE, stress-subset MAE, event F1, and onset"
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,65,360,360,54,4,PASS,,**Fig. 6.** Within-task method ranks computed from `real_curtailment_results.csv`. Rank 1 denotes the best mean for the indicated metric; lower is better for error columns and higher is better for F1 columns. Only the nine methods with the 
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,66,362,362,70,5,PASS,,"Figure 7 adds the corresponding compute--error view. The framework averages 6.66 s per seeded run at 1 h and 6.48 s at 24 h. The LSTM averages about 3.02 s and 2.96 s, while the MLP requires only 0.27--0.28 s. Raw-space retrieval is slower "
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,67,366,366,40,3,PASS,,**Fig. 7.** Mean wall-clock time and curtailment MAE for learned methods and retrieval ablations at both horizons. Circles denote the framework or external learned baselines; squares denote ablations. Values are means of the archived seeded
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,68,368,368,29,2,PASS,,**Table 5.** Selected compute--error readouts from the frozen run archive. Times are mean seconds per train-and-evaluate run; deterministic baselines are omitted because their timings are not comparable to model fitting.
mintou_p1_dstar_gru_dispatch,IEEE Access,E. Multi-Metric Rank Profile and Computational Cost,69,378,378,50,3,PASS,,The combined evidence gives a three-part decision rule. DSTAR-GRU is defensible when short-horizon learned-model accuracy and analogue retrieval are required; LSTM is the leaner learned alternative; and simple raw-feature or linear methods 
mintou_p1_dstar_gru_dispatch,IEEE Access,F. Modern Temporal Controls and Fixed-Cap Transportability,70,382,382,111,6,REVISE,P1_STRONG_CLAIM_CHECK,"Figure 8 joins two predeclared stress tests of scope. The first adds DLinear and a causal TCN under the same data, optimizer, validation checkpointing, epoch ceiling, clipping, and ten seeds as the existing learned models. TCN approaches DS"
mintou_p1_dstar_gru_dispatch,IEEE Access,F. Modern Temporal Controls and Fixed-Cap Transportability,71,384,384,92,6,PASS,,"The second test applies the fixed 70% reference-cap construction, unchanged, to the public NREL-118 load, wind, and solar time series. Across 8784 aligned hours, renewable share has mean 0.103, 95th percentile 0.262, and maximum 0.369. It n"
mintou_p1_dstar_gru_dispatch,IEEE Access,F. Modern Temporal Controls and Fixed-Cap Transportability,72,388,388,37,2,PASS,,"**Fig. 8.** (a) Curtailment-rate MAE for DSTAR-GRU, TCN, and DLinear under the shared ten-seed protocol. (b) NREL-118 renewable-share statistics relative to the fixed 0.70 reference cap. No NREL-118 hour reaches the cap; consequently, no ex"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Why retrieval helps at 1 h,73,396,396,105,5,PASS,,"At the short horizon the target is dominated by continuation: most hours continue a quiet or an active regime, and the retrieval average over eight similar operating states acts as a smoother anchored in realized outcomes, correcting the GR"
mintou_p1_dstar_gru_dispatch,IEEE Access,B. Why the same mechanism harms 24 h onset warning,74,400,400,175,8,PASS,,"Onset hours are, by definition, hours where the future does not resemble the recent past. A query window observed at an onset-minus-24 h moment describes quiet conditions; its nearest neighbors in any space are overwhelmingly other quiet wi"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. What the benchmark discriminates,75,404,404,58,4,PASS,,"Across Table 4 and Figures 3–5, the leader changes with horizon and metric. Persistence leads 1 h MAE, learned retrieval methods are competitive on 1 h onset F1, and simple regressors lead 24 h onset F1. A degenerate near-climatology config"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. What the benchmark discriminates,76,406,406,42,4,PASS,,"The practical guidance follows directly. Retrieval-augmented models are defensible for short-horizon curtailment estimation. For day-ahead onset warning, however, current evidence favors simple regression on raw features. Any retrieval-base"
mintou_p1_dstar_gru_dispatch,IEEE Access,D. Implications for benchmarked decision support,77,410,410,103,5,PASS,,"The framework does not lead the aggregate leaderboard, but the matched controls reveal a more useful design result: retrieval has opposite consequences for short-horizon estimation and day-ahead onset warning. This distinction would be hidd"
mintou_p1_dstar_gru_dispatch,IEEE Access,IX. Conclusion,78,427,427,39,2,PASS,,"This paper develops a reproducible public benchmark for curtailment-risk decision support on RTS-GMLC. A method-independent proxy target follows a fixed 70% SNSP-type reference policy, and an onset slice complements aggregate error with the"
mintou_p1_dstar_gru_dispatch,IEEE Access,IX. Conclusion,79,429,429,76,4,PASS,,"On this benchmark, learned-embedding retrieval significantly improves 1 h MAE relative to the prespecified retrieval-removal and retrieval-degradation controls (Holm $p\leq0.0041$). The same mechanism reduces 24 h onset-warning performance,"
mintou_p1_dstar_gru_dispatch,IEEE Access,IX. Conclusion,80,431,431,43,2,PASS,,"The fixed-cap NREL-118 check produces no positive target hours, so cross-system use requires policy recalibration before predictive comparison. Within its tested scope, the benchmark provides a public, statistically controlled basis for dev"
mintou_p1_dstar_gru_dispatch,IEEE Access,Acknowledgment,81,437,437,47,3,PASS,,"During the preparation of this work, the authors used Claude (Anthropic) for drafting and language-editing assistance. All experimental design, code, data processing, results, and analysis were produced and verified by the authors. The auth"
mintou_p1_dstar_gru_dispatch,IEEE Access,Funding,82,441,441,24,1,BLOCK,P0_PLACEHOLDER;P1_STRONG_CLAIM_CHECK,"[AUTHOR INPUT REQUIRED: insert the funder and grant number in the IEEE first-page funding footnote, or state that the work received no external funding.]"
mintou_p1_dstar_gru_dispatch,IEEE Access,Data Availability and Reproducibility,83,445,445,108,5,PASS,,"All inputs are public: RTS-GMLC is available from the GridMod repository (https://github.com/GridMod/RTS-GMLC) [6], and the NREL-118 time-series files are distributed with the NREL synthetic test-system assets. The benchmark construction, 1"
mintou_p1_dstar_gru_dispatch,IEEE Access,Conflicts of Interest,84,449,449,7,1,PASS,,The authors declare no conflicts of interest.
mintou_p1_dstar_gru_dispatch,IEEE Access,References,85,455,455,24,2,PASS,,"[1] L. Bird et al., ""Wind and solar energy curtailment: A review of international experience,"" *Renewable and Sustainable Energy Reviews*, vol. 65, pp. 577–586, 2016, doi: 10.1016/j.rser.2016.06.082."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,86,457,457,30,5,PASS,,"[2] G. Luo, Y. Li, W. Tang, and X. Wei, ""Wind curtailment of China's wind power operation: Evolution, causes and solutions,"" *Renewable and Sustainable Energy Reviews*, vol. 53, pp. 1190–1201, 2016, doi: 10.1016/j.rser.2015.09.075."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,87,459,459,22,2,PASS,,"[3] B. Frew et al., ""The curtailment paradox in the transition to high solar power systems,"" *Joule*, vol. 5, no. 5, pp. 1143–1167, 2021, doi: 10.1016/j.joule.2021.03.021."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,88,461,461,38,7,PASS,,"[4] J. O'Sullivan, A. Rogers, D. Flynn, P. Smith, A. Mullane, and M. O'Malley, ""Studying the maximum instantaneous non-synchronous generation in an island system—Frequency stability challenges in Ireland,"" *IEEE Transactions on Power System"
mintou_p1_dstar_gru_dispatch,IEEE Access,References,89,463,463,34,6,PASS,,"[5] J. Cardo-Miota, R. Trivedi, S. Patra, S. Khadem, and M. Bahloul, ""Data-driven approach for day-ahead System Non-Synchronous Penetration forecasting: A comprehensive framework, model development and analysis,"" *Applied Energy*, vol. 362,"
mintou_p1_dstar_gru_dispatch,IEEE Access,References,90,465,465,22,2,PASS,,"[6] C. Barrows et al., ""The IEEE Reliability Test System: A proposed 2019 update,"" *IEEE Transactions on Power Systems*, vol. 35, no. 1, pp. 119–127, 2020, doi: 10.1109/TPWRS.2019.2925557."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,91,467,467,26,4,PASS,,"[7] S. Makridakis, E. Spiliotis, and V. Assimakopoulos, ""Statistical and machine learning forecasting methods: Concerns and ways forward,"" *PLOS ONE*, vol. 13, no. 3, Art. no. e0194889, 2018, doi: 10.1371/journal.pone.0194889."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,92,469,469,21,3,PASS,,"[8] S. Kapoor and A. Narayanan, ""Leakage and the reproducibility crisis in machine-learning-based science,"" *Patterns*, vol. 4, no. 9, Art. no. 100804, 2023, doi: 10.1016/j.patter.2023.100804."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,93,471,471,29,8,PASS,,"[9] L. Delle Monache, F. A. Eckel, D. L. Rife, B. Nagarajan, and K. Searight, ""Probabilistic weather prediction with an analog ensemble,"" *Monthly Weather Review*, vol. 141, no. 10, pp. 3498–3516, 2013, doi: 10.1175/MWR-D-12-00281.1."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,94,473,473,38,13,PASS,,"[10] T. Xu, N. S. Wade, E. M. Davidson, P. C. Taylor, S. D. J. McArthur, and W. G. Garlick, ""Case-based reasoning for coordinated voltage control on distribution networks,"" *Electric Power Systems Research*, vol. 81, no. 12, pp. 2088–2098, "
mintou_p1_dstar_gru_dispatch,IEEE Access,References,95,475,475,31,2,PASS,,"[11] Y. Yasuda et al., ""C-E (curtailment – Energy share) map: An objective and quantitative measure to evaluate wind and solar curtailment,"" *Renewable and Sustainable Energy Reviews*, vol. 160, Art. no. 112212, 2022, doi: 10.1016/j.rser.20"
mintou_p1_dstar_gru_dispatch,IEEE Access,References,96,477,477,25,2,PASS,,"[12] D. Newbery, ""National Energy and Climate Plans for the island of Ireland: wind curtailment, interconnectors and storage,"" *Energy Policy*, vol. 158, Art. no. 112513, 2021, doi: 10.1016/j.enpol.2021.112513."
mintou_p1_dstar_gru_dispatch,IEEE Access,References,97,479,479,26,5,PASS,,"[13] H. Hadian and F. Naderkhani, ""Deep learning-based models for wind and solar curtailment forecasting,"" in *Proc. 7th Int. Conf. Energy Harvesting, Storage, and Transfer (EHST)*, 2023, paper 120, doi: 10.11159/ehst23.120."
