pair,kind,similarity,left,right
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Vulnerability-Driven Multi-Objective Energy Storage Planning Using Enhanced Beluga Whale Optimization for Resilient Distribution Networks. *Energies* **2026**, *19*(1), 210. https://doi.org/10.3390/en19010210","Vulnerability-driven multi-objective energy storage planning using enhanced beluga whale optimization for resilient distribution networks. *Energies* **2026**, *19*(1), 210. https://doi.org/10.3390/en19010210"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Multiobjective Evolutionary Algorithms: A Comparative Case Study and the Strength Pareto Approach. *IEEE Transactions on Evolutionary Computation* **1999**, *3*(4), 257--271. https://doi.org/10.1109/4235.797969","Multiobjective evolutionary algorithms: A comparative case study and the strength Pareto approach. *IEEE Transactions on Evolutionary Computation* **1999**, *3*(4), 257-271. https://doi.org/10.1109/4235.797969"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Differential Evolution: A Survey of the State-of-the-Art. *IEEE Transactions on Evolutionary Computation* **2011**, *15*(1), 4--31. https://doi.org/10.1109/TEVC.2010.2059031","Differential evolution: A survey of the state-of-the-art. *IEEE Transactions on Evolutionary Computation* **2011**, *15*(1), 4-31. https://doi.org/10.1109/TEVC.2010.2059031"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"A Fast and Elitist Multiobjective Genetic Algorithm: NSGA-II. *IEEE Transactions on Evolutionary Computation* **2002**, *6*(2), 182--197. https://doi.org/10.1109/4235.996017","A fast and elitist multiobjective genetic algorithm: NSGA-II. *IEEE Transactions on Evolutionary Computation* **2002**, *6*(2), 182-197. https://doi.org/10.1109/4235.996017"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition. *IEEE Transactions on Evolutionary Computation* **2007**, *11*(6), 712--731. https://doi.org/10.1109/TEVC.2007.892759","MOEA/D: A multiobjective evolutionary algorithm based on decomposition. *IEEE Transactions on Evolutionary Computation* **2007**, *11*(6), 712-731. https://doi.org/10.1109/TEVC.2007.892759"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"A Simple Sequentially Rejective Multiple Test Procedure. *Scandinavian Journal of Statistics* **1979**, *6*(2), 65--70.","A simple sequentially rejective multiple test procedure. *Scandinavian Journal of Statistics* **1979**, *6*(2), 65-70."
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9966,"Thurner, L.; Scheidler, A.; Schäfer, F.; Menke, J.-H.; Dollichon, J.; Meier, F.; Meinecke, S.; Braun, M. pandapower -- An Open-Source Python Tool for Convenient Modeling, Analysis, and Optimization of Electric Power Systems. *IEEE Transactions on Power Systems* **2018**, *33*(6), 6510--6521. https://doi.org/10.1109/TPWRS.2018.2829021","Thurner, L.; Scheidler, A.; Schafer, F.; Menke, J.-H.; Dollichon, J.; Meier, F.; Meinecke, S.; Braun, M. pandapower -- An open-source Python tool for convenient modeling, analysis, and optimization of electric power systems. *IEEE Transactions on Power Systems* **2018**, *33*(6), 6510-6521. https://doi.org/10.1109/TPWRS.2018.2829021"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9935,"Meinecke, S.; Sarajlić, D.; Drauz, S.R.; Klettke, A.; Lauven, L.-P.; Rehtanz, C.; Moser, A.; Braun, M.","Meinecke, S.; Sarajlic, D.; Drauz, S.R.; Klettke, A.; Lauven, L.-P.; Rehtanz, C.; Moser, A.; Braun, M."
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9551,"A case is AC-feasible when power flow converges, all bus voltages remain within $[0.95,1.05]$ pu, and line loading does not exceed 100%.","A case is feasible when power flow converges, voltages remain within $[0.95,1.05]$ pu, and line loading does not exceed 100%."
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9478,Rank-biserial correlation and 5000-resample bootstrap intervals quantify effect size and mean-difference uncertainty.,Rank-biserial correlation and 5000-resample bootstrap intervals report effect size and mean-difference uncertainty.
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9194,| Parameter | Value | CARS-MODE HV (mean +/- std) | NSGA-II reference | p (MWU) |,| Parameter | Value | SHIELD-MOEA HV (mean +/- std) | NSGA-II reference | p (MWU) |
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.9163,| NSGA-II+Repair | baseline | NSGA-II followed by the same deterministic budget-repair rule used by CARS-MODE |,| NSGA-II+Repair | baseline | NSGA-II followed by the same deterministic budget-repair rule as SHIELD-MOEA |
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.8972,| Experiment | CARS-MODE | NSGA-II | $\Delta HV$ (95% CI) | $r_{rb}$ | Holm p |,| Experiment | SHIELD | NSGA-II | $\Delta HV$ (95% CI) | $r_{rb}$ | Holm p |
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,near,0.8889,| MOEA/D | baseline | 0.00047 | 0.00000 | 1.0 | 0.350 |,| MOEA/D | baseline | 0.00047 | 0.00002 | 0.00047 | 1.0 | 0.450 |
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"**Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China","**Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,| Greedy BCR | Baseline | Benefit-cost ratio greedy fill under budget |,| Greedy BCR | baseline | benefit-cost-ratio greedy fill under budget |
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,| Random Feasible | Baseline | Random-permutation greedy fill |,| Random Feasible | baseline | random permutation greedy fill |
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"[AUTHOR INPUT REQUIRED: insert the verified funder, grant number, and APC funder, or state ""This research received no external funding.""]","[AUTHOR INPUT REQUIRED: insert the verified funder, grant number, and APC funder, or state ""This research received no external funding.""]"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"A persistent public archive can be supplied before publication, subject to third-party redistribution terms.","A persistent public archive can be supplied before publication, subject to third-party redistribution terms."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"A fast and elitist multiobjective genetic algorithm: NSGA-II. *IEEE Transactions on Evolutionary Computation* **2002**, *6*(2), 182–197. https://doi.org/10.1109/4235.996017","A fast and elitist multiobjective genetic algorithm: NSGA-II. *IEEE Transactions on Evolutionary Computation* 2002, 6(2), 182--197. https://doi.org/10.1109/4235.996017"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition. *IEEE Transactions on Evolutionary Computation* **2007**, *11*(6), 712–731. https://doi.org/10.1109/TEVC.2007.892759","MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition. *IEEE Transactions on Evolutionary Computation* 2007, 11(6), 712--731. https://doi.org/10.1109/TEVC.2007.892759"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Gao, C.; Wang, X.; Li, D.; Han, C.; You, W.; Zhao, Y.","Gao, C.; Wang, X.; Li, D.; Han, C.; You, W.; Zhao, Y."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit. *Energies* **2023**, *16*(20), 7215. https://doi.org/10.3390/en16207215","A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit. *Energies* 2023, 16(20), 7215. https://doi.org/10.3390/en16207215"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"An Evolutionary Many-Objective Optimization Algorithm Using Reference-Point-Based Nondominated Sorting Approach, Part I: Solving Problems With Box Constraints. *IEEE Transactions on Evolutionary Computation* **2014**, *18*(4), 577–601. https://doi.org/10.1109/TEVC.2013.2281535","An Evolutionary Many-Objective Optimization Algorithm Using Reference-Point-Based Nondominated Sorting Approach, Part I: Solving Problems With Box Constraints. *IEEE Transactions on Evolutionary Computation* 2014, 18(4), 577--601. https://doi.org/10.1109/TEVC.2013.2281535"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Unpublished manuscript, 2026; available to editors and reviewers on request.","Unpublished manuscript, 2026; available to editors and reviewers on request."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Liang, Y.; Liu, H.; Zhou, H.; Meng, Z.; Liu, J.; Zhou, M.","Liang, Y.; Liu, H.; Zhou, H.; Meng, Z.; Liu, J.; Zhou, M."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration. *Applied Sciences* **2024**, *14*(15), 6486. https://doi.org/10.3390/app14156486","Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration. *Applied Sciences* 2024, 14(15), 6486. https://doi.org/10.3390/app14156486"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Interruption Cost Estimation for Value-Based Reliability Investment in Emerging Smart Grid Resources. *Applied Sciences* **2024**, *14*(19), 8651. https://doi.org/10.3390/app14198651","Interruption Cost Estimation for Value-Based Reliability Investment in Emerging Smart Grid Resources. *Applied Sciences* 2024, 14(19), 8651. https://doi.org/10.3390/app14198651"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Zhang, T.; Wu, J.; Hong, J.; Zhou, H.; Zheng, J.; Zheng, Z.; Niu, C.; Gao, Z.; Peng, L.; Lin, Z.","Zhang, T.; Wu, J.; Hong, J.; Zhou, H.; Zheng, J.; Zheng, Z.; Niu, C.; Gao, Z.; Peng, L.; Lin, Z."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Optimal Planning and Investment Return Analysis of Grid-Side Energy Storage System Addressing Multi-Dimensional Grid Security Requirements. *Applied Sciences* **2025**, *15*(22), 11944. https://doi.org/10.3390/app152211944","Optimal Planning and Investment Return Analysis of Grid-Side Energy Storage System Addressing Multi-Dimensional Grid Security Requirements. *Applied Sciences* 2025, 15(22), 11944. https://doi.org/10.3390/app152211944"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"Xiong, H.; Feng, B.; Yan, F.; Kang, Y.; Hu, Y.; Li, Q.; Tan, Q.","Xiong, H.; Feng, B.; Yan, F.; Kang, Y.; Hu, Y.; Li, Q.; Tan, Q."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"A Hybrid Heuristic--Benders Method for Wind--Hydrogen Investment Planning with Non-Analytical Cost Functions. *Energies* **2026**, *19*(9), 2172. https://doi.org/10.3390/en19092172","A Hybrid Heuristic-Benders Method for Wind-Hydrogen Investment Planning with Non-Analytical Cost Functions. *Energies* 2026, 19(9), 2172. https://doi.org/10.3390/en19092172"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,exact,1.0000,"A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries. *Energies* **2026**, *19*(14), 3243. https://doi.org/10.3390/en19143243","A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries. *Energies* 2026, 19(14), 3243. https://doi.org/10.3390/en19143243"
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.9758,We report rank-biserial effect sizes and 5000-resample bootstrap confidence intervals for mean differences.,We report rank-biserial effects and 5000-resample bootstrap confidence intervals for mean differences.
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.9617,"Confidence intervals are pointwise, multiplicity-unadjusted 5000-resample bootstrap intervals for the mean difference; $r_{rb}$ is the rank-biserial effect.","Confidence intervals are pointwise, multiplicity-unadjusted 5000-resample bootstrap intervals for the mean difference; $r_{rb}$ is rank-biserial."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.9500,"During the preparation of this manuscript, the authors used generative AI tools (Claude, Anthropic) for language refinement, literature summary, and formatting assistance, under the authors' full intellectual oversight.","During the preparation of this manuscript, the authors used Claude (Anthropic) for language refinement, literature summary, and formatting assistance under the authors' full intellectual oversight."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.9144,"[AUTHOR INPUT REQUIRED: assign the CRediT roles to Yubin Lin, Jiyu Li, Xiaofei Ruan, Xiaoyu Huang, and Dishan Yang, and obtain approval from every author.] All authors have read and agreed to the published version of the manuscript.","[AUTHOR INPUT REQUIRED: assign the CRediT roles to Yubin Lin, Jingbo Zhang, Xiaoyu Huang, Dishan Yang, and Jiyu Li, and obtain approval from every author.] All authors have read and agreed to the published version of the manuscript."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.9023,"Across four stochastic baselines and seven scenarios, TRACE-MOEA has 27 positive mean differences in 28 comparisons; 24 are Holm-significant wins and none is a significant loss.","Across five stochastic baselines and eight scenarios, the method has 37 positive mean differences in 40 comparisons; 36 are Holm-significant wins and none is a significant loss."
mintou_p5_trace_moea_feasibility_review__mintou_p6_bilonsga_project_review,near,0.8821,Stochastic methods have 210 runs; deterministic-rule rows summarize seven unique outputs retained as 210 repeated provenance rows.,Stochastic methods have 240 runs; deterministic-rule summaries derive from eight unique outputs retained as 240 repeated provenance rows.
