paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,7,18,42,35,PASS,,,"Between these two lines there is an unoccupied middle ground: apply the skeptics' statistical machinery not to whole models but to the *individual components* of a cross-series forecaster, and report whichever way the evidence falls."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,8,19,44,23,PASS,,,CSA-LoadNet is a compact neural forecaster in which a shared encoder processes each region's load history and cross-series attention aggregates the other encodings.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,8,20,44,15,PASS,,,"Attention weights can use Poincaré distance with fixed or learned curvature, Euclidean distance, or equal averaging."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,8,21,44,6,PASS,,,Each mechanism is an independent switch.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,9,22,46,15,PASS,,,"The decision-relevant set contains the full model, five single-switch ablations, and the strongest external baseline."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,9,23,46,24,PASS,,,"Each configuration is evaluated over ten seeds on OPSD country-level loads and SimBench distribution profiles, with Ausgrid solar-home data providing a hierarchical boundary test."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,9,24,46,20,PASS,,,Pairwise comparisons use two-sided Mann–Whitney U tests with Holm correction within each dataset–horizon block and its primary metric.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,10,25,48,24,PASS,,,"The evidence sorts cleanly into one positive claim, one negative claim, and three boundary results, and the paper presents all five with equal prominence:"
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,26,55,6,PASS,,,The paper is organized as follows.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,27,55,10,PASS,,,Section 2 reviews the three research threads the study draws on.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,28,55,8,PASS,,,"Section 3 describes the datasets, tasks, and split protocol."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,29,55,7,PASS,,,Section 4 specifies CSA-LoadNet and its ablation switches.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,30,55,6,PASS,,,"Section 5 details baselines, training, and statistics."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,11,31,55,15,PASS,,,"Section 6 reports results, Section 7 interprets the setting-dependent component evidence, Section 8 states limitations, and Section 9 concludes."
mintou_p2_hygraph_load_forecasting,Electronics,2. Related Work,12,32,61,42,PASS,,,"Three threads frame this study: the deep-architecture lineage of short-term load forecasting, cross-series and graph-structured forecasting, and the honest-evaluation line that pits complex models against simple baselines. (An extended version of this review with full citation context accompanies the released evidence package.)"
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,13,33,65,13,REVISE,P1_STRONG_CLAIM_CHECK,核验独创性/因果/证明性措辞，并补直接证据或降格为观察性表述,Recurrent networks were among the first deep models to displace classical load forecasters.
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,13,34,65,15,PASS,,,"Building on the LSTM cell [9], Kong et al. demonstrate short-term forecasting at the residential scale [10]."
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,13,35,65,17,PASS,,,"DeepAR extends shared training to large panels of related series [11], an idea reflected in CSA-LoadNet's shared encoder."
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,13,36,65,17,PASS,,,"Temporal convolutional networks offer a lower-cost alternative [12], while the Temporal Fusion Transformer [13] and Informer [14] extend attention-based forecasting."
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,14,37,67,20,PASS,,,"Applied load forecasting increasingly uses hybrid models, including LSTM–CNN fusion [15], BiLSTM–Transformer combinations [16], decomposition pipelines [17], and LSTM–XGBoost ensembles [18]."
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,14,38,67,13,PASS,,,"Evidence for the added component, however, is commonly limited to one accuracy table."
mintou_p2_hygraph_load_forecasting,Electronics,2.1. Deep Architectures for Short-Term and Day-Ahead Load Forecasting,14,39,67,7,PASS,,,Multi-seed distributions and component-level tests remain uncommon.
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,15,40,71,10,PASS,,,A second thread exploits correlation among regional or nodal series.
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,15,41,71,8,PASS,,,LSTNet models dependence through joint convolutional–recurrent channels [19].
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,15,42,71,13,PASS,,,"Graph formulations emerged in traffic forecasting [20], and MTGNN learns adjacency end to end [21]."
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,15,43,71,14,PASS,,,"Power-load examples include LoadSeer [4], GCN–BiLSTM–Adaboost [1], spatio-temporal graph transformers [2], and GCN–Transformer integration [3]."
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,15,44,71,17,PASS,,,"A parallel literature treats multiple series as a hierarchy requiring reconciliation [22,23], with Ausgrid as a common testbed [24]."
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,16,45,73,8,PASS,,,These graph-based studies propose increasingly elaborate weighting mechanisms.
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,16,46,73,15,PASS,,,Their comparisons rarely test the selected weighting against equal averaging under an identical seeded protocol.
mintou_p2_hygraph_load_forecasting,Electronics,2.2. Cross-Series and Graph-Structured Load Forecasting,16,47,73,13,PASS,,,"Consequently, the contribution of aggregation can be conflated with that of its parameterization."
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,17,48,77,6,PASS,,,The third thread concerns evaluation discipline.
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,17,49,77,15,PASS,,,"Sound out-of-sample practice was codified early [25], and temporal leakage from naive cross-validation is well documented [26]."
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,17,50,77,20,PASS,,,"Common metrics also have known failure modes; MAPE becomes unstable near zero loads [27], directly motivating the SimBench and Ausgrid choices."
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,17,51,77,10,PASS,,,Diebold–Mariano testing [28] made statistical comparison a standard forecasting question.
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,17,52,77,13,PASS,,,"The M competitions [6,7], DLinear [5], and later best-practice guides [8] further emphasize strong simple baselines."
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,18,53,79,8,PASS,,,This evaluation literature mainly operates at whole-model granularity.
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,18,54,79,18,PASS,,,"The present study extends it to individual forecaster components, using multiplicity-corrected tests to determine which component claims survive."
mintou_p2_hygraph_load_forecasting,Electronics,2.3. Simple Baselines and Honest Evaluation,18,55,79,9,PASS,,,Section 6.3 applies that logic to the aggregation weight forms.
mintou_p2_hygraph_load_forecasting,Electronics,3.1. Datasets and Forecast Tasks,19,56,87,26,PASS,,,"We evaluate on three public datasets chosen to span three distinct multi-series regimes: country-level national loads, distribution-system load profiles, and a customer/region/system hierarchy (Table 1)."
mintou_p2_hygraph_load_forecasting,Electronics,3.1. Datasets and Forecast Tasks,20,57,89,18,PASS,,,"**Table 1.** Datasets, series pools, and temporal splits (from `evidence/source/real_opsd_source_profile.csv`, `evidence/source/real_simbench_source_profile.csv`, and `src/configs/real_ausgrid_exact_hierarchy_v8_config.json`)."
mintou_p2_hygraph_load_forecasting,Electronics,3.1. Datasets and Forecast Tasks,21,58,100,34,PASS,,,Each horizon-h task predicts each series' load h hours beyond the forecast origin from the preceding 168 h of that pool's history; sliding the origin hourly across the test segment produces the full evaluation trajectory.
mintou_p2_hygraph_load_forecasting,Electronics,3.1. Datasets and Forecast Tasks,21,59,100,14,PASS,,,The 24 h task is the day-ahead task around which this paper's claims are organized.
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,22,60,104,12,PASS,,,The primary metric is chosen per dataset to avoid known metric pathologies [27].
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,22,61,104,13,PASS,,,"For a fixed dataset–horizon test set of $N$ targets, the implementation computes"
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,23,62,123,2,PASS,,,with $\epsilon=10^{-6}$.
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,23,63,123,28,PASS,,,"The normalization range in nMAE is computed once from the common test targets; it is an evaluation scale and is identical for all methods, not a training input."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,23,64,123,15,PASS,,,"Country-level OPSD loads are strictly positive and far from zero, so MAPE is interpretable there."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,23,65,123,25,PASS,,,"SimBench profile values approach zero at many timestamps, where MAPE denominators become unstable; SimBench methods are therefore ranked by nMAE and MAPE is retained descriptively."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,24,66,125,23,PASS,,,"For the exact Ausgrid hierarchy, let $\bar s_L$, $\bar s_R$, and $s_T$ be the mean node sMAPE over the 12 leaves, the four regions, and the root."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,24,67,125,14,PASS,,,The predeclared primary metric gives each level equal weight rather than letting 12 leaves dominate:
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,25,68,131,19,PASS,,,"With bottom-level forecast matrix $\hat{B}$ and summing matrix $S\in\{0,1\}^{17\times12}$, structural coherence requires $\hat{Y}=S\hat{B}$."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,25,69,131,5,PASS,,,We report the scale-normalized violation
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,26,70,138,12,PASS,,,"Bottom-up, top-down, and OLS projection reconciliation are evaluated separately from forecasting accuracy."
mintou_p2_hygraph_load_forecasting,Electronics,3.2. Primary Metrics and Why They Differ per Dataset,26,71,138,31,PASS,,,"All significance tests in Section 6 use the primary metric of the respective dataset; secondary metrics, including MAE, RMSE, level-specific sMAPE, peak-load error, and coherence violation, are preserved in the evidence tables."
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,72,142,20,PASS,,,"Because inflated forecasting results are most often manufactured by evaluation leakage rather than by fraud [8,26], we state the protocol precisely."
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,73,142,23,PASS,,,"Splits are single chronological cuts at the boundaries in Table 1 — no shuffling, no random cross-validation folds, no test-period information in any training decision."
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,74,142,10,PASS,,,Per-series z-normalization statistics are fitted on the training segment only.
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,75,142,19,PASS,,,"Early stopping uses a validation slice defined as the final 15% of the *training* window by time, never test data."
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,76,142,19,PASS,,,"Training samples are strided (Section 5.2) to fit the CPU budget, but test sets are always evaluated in full, unstrided."
mintou_p2_hygraph_load_forecasting,Electronics,3.3. Leakage-Free Temporal Protocol,27,77,142,29,PASS,,,"The exact source files, row counts, and boundary timestamps are recorded in machine-readable source profiles released with the evidence, so the absence of leakage is checkable rather than asserted."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,28,78,148,6,PASS,,,Figure 1 gives the complete forecasting path.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,28,79,148,31,PASS,,,Load histories and calendar variables enter a shared temporal encoder; target and context series are related only inside the cross-series attention block; and the fused representation enters the horizon-specific forecasting head.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,28,80,148,18,PASS,,,The three weight forms shown under the attention block are controlled alternatives evaluated with the same downstream network.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,29,81,152,6,PASS,,,**Figure 1.** CSA-LoadNet data and model flow.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,29,82,152,13,PASS,,,The lower strip identifies independent evaluation datasets; it is not an input path.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,29,83,152,14,PASS,,,"Poincare, Euclidean, and equal-weight attention share the same encoder, fusion, head, and training protocol."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,30,84,154,22,PASS,,,"CSA-LoadNet (Cross-Series Attention Load Forecasting Network) is intentionally small: a shared temporal encoder, one cross-series attention block, and a compact prediction head."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,30,85,154,32,PASS,,,"The design goal is not architectural novelty for its own sake but a testbed in which every mechanism is an independent switch, so that the component analysis of Section 6.2–6.3 attributes effects cleanly."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,31,86,156,14,PASS,,,"**Formal definitions.** For series \(i\), the 168-hour history is standardized with fit-split statistics only,"
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,32,87,163,5,PASS,,,The shared two-layer encoder is
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,33,88,170,4,PASS,,,where \(\phi\) is ReLU.
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,33,89,170,17,PASS,,,"When hyperbolic weighting is enabled, embeddings are projected inside the unit ball and their Poincare distance is"
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,34,90,180,14,PASS,,,"The Euclidean control replaces \(d_{\mathbb B}\) by \(\|e_i-e_j\|_2\), and the equal-neighbor control fixes \(\alpha_{ij}=1/(m-1)\)."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,34,91,180,7,PASS,,,"For any weight form, context fusion is"
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,35,92,187,8,PASS,,,The prediction head and empirical training risk are
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,36,93,199,25,PASS,,,"With \(m\) series, embedding width \(d_e\), and temporal width \(d_h\), the cross-series block costs \(O(m^2d_e+m^2d_h)\) per batch item; the TemporalOnly ablation removes the quadratic terms."
mintou_p2_hygraph_load_forecasting,Electronics,4. CSA-LoadNet,36,94,199,12,PASS,,,"This complexity statement concerns the implemented dense pool, not sparse graph attention."
mintou_p2_hygraph_load_forecasting,Electronics,4.1. Shared Temporal Encoder,37,95,203,30,PASS,,,"For each series $i$ in the pool, the past 168 hours of per-series z-normalized load are passed through a shared multilayer perceptron $168 \to 96 \to 48$, yielding a temporal encoding $h_i \in \mathbb{R}^{48}$."
mintou_p2_hygraph_load_forecasting,Electronics,4.1. Shared Temporal Encoder,37,96,203,36,PASS,,,"Sharing one encoder across all series follows the cross-learning principle established by panel forecasters such as DeepAR [11]: every series' history contributes gradient signal to the same temporal features, which matters when pools are small (6–17 series here)."
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,38,97,207,10,PASS,,,Each series additionally owns a learned embedding $e_i \in \mathbb{R}^{8}$.
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,38,98,207,17,PASS,,,"To forecast target series $i$, the module computes attention weights over the other series in the pool,"
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,39,99,213,14,PASS,,,"and aggregates their value-mapped temporal encodings into a context vector $g_i = \sum_{j \neq i} \alpha_{ij} \, W_v h_j$."
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,39,100,213,24,PASS,,,"In the default configuration, $d(\cdot,\cdot)$ is the geodesic distance in a Poincaré ball and $c_i = \mathrm{softplus}(\kappa_i) + 0.1$ is a per-target learnable inverse-temperature/curvature parameter."
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,39,101,213,9,PASS,,,The Poincaré parameterization is one interchangeable option for producing $\alpha_{ij}$.
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,39,102,213,21,PASS,,,"Section 6.3 shows that it is statistically inseparable from Euclidean-distance and equal weights; accordingly, no geometric property is claimed as a contribution."
mintou_p2_hygraph_load_forecasting,Electronics,4.2. Cross-Series Attention Aggregation,39,103,213,14,PASS,,,The component under test is the aggregation step itself: whether $g_i$ should exist at all.
mintou_p2_hygraph_load_forecasting,Electronics,4.3. Prediction Head and Calendar Features,40,104,217,18,PASS,,,"The prediction head concatenates the target encoding, aggregated context, and a calendar vector derived from the forecast timestamp."
mintou_p2_hygraph_load_forecasting,Electronics,4.3. Prediction Head and Calendar Features,40,105,217,26,PASS,,,"A hidden layer of width 64 maps this vector to the scalar h-step-ahead prediction: $\hat{y}_{i,t+h} = \mathrm{MLP}_{64}\big([\,h_i \,\|\, g_i \,\|\, \mathrm{cal}(t+h)\,]\big)$."
mintou_p2_hygraph_load_forecasting,Electronics,4.3. Prediction Head and Calendar Features,40,106,217,24,PASS,,,"The parameter count is held in the same budget class as the MLP baseline (Section 5.1), reducing capacity as an alternative explanation for accuracy differences."
mintou_p2_hygraph_load_forecasting,Electronics,4.4. Ablation Switches,41,107,221,12,PASS,,,Five single-switch variants isolate each mechanism (configuration keys from `src/configs/real_hyg_neural_config.json`):
mintou_p2_hygraph_load_forecasting,Electronics,4.4. Ablation Switches,42,108,229,24,PASS,,,The middle three switches jointly probe the *form* of the aggregation weights; TemporalOnly probes the *existence* of aggregation; NoCalendar probes an orthogonal feature channel.
mintou_p2_hygraph_load_forecasting,Electronics,4.5. Weighting Variants and Artifact Labels,43,109,233,16,PASS,,,"The implementation exposes Poincaré, Euclidean, equal-weight, fixed-curvature, and learnable-curvature weighting variants through the ablation switches defined above."
mintou_p2_hygraph_load_forecasting,Electronics,4.5. Weighting Variants and Artifact Labels,43,110,233,17,PASS,,,"The empirical question is whether cross-series aggregation contributes and, separately, whether any tested weighting form is distinguishable."
mintou_p2_hygraph_load_forecasting,Electronics,4.5. Weighting Variants and Artifact Labels,43,111,233,24,PASS,,,Some archived result tables use the earlier implementation label `HyG-LoadFormer (neural)` for the full configuration; the evidence README maps this label one-to-one to CSA-LoadNet.
mintou_p2_hygraph_load_forecasting,Electronics,4.5. Weighting Variants and Artifact Labels,43,112,233,12,PASS,,,All manuscript claims use the component definitions rather than the historical name.
mintou_p2_hygraph_load_forecasting,Electronics,5.1. Methods Compared,44,113,241,4,PASS,,,Table 2 lists the methods.
mintou_p2_hygraph_load_forecasting,Electronics,5.1. Methods Compared,44,114,241,32,PASS,,,"The five external baselines are compact PyTorch implementations spanning the standard neural-forecasting families: MLP, LSTM [9,10], TCN [12], DLinear [5], and a lightweight PatchTST variant (patch-based transformer, reduced depth to fit the shared CPU budget)."
mintou_p2_hygraph_load_forecasting,Electronics,5.1. Methods Compared,44,115,241,20,PASS,,,"All models — proposed, ablations, baselines — consume the same 168 h z-normalized inputs, the same splits, and the same full test sets."
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,45,116,261,24,PASS,,,"Table 3 discloses every training-relevant setting; none was tuned on test data, and the configuration is held fixed across datasets rather than optimized per benchmark."
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,45,117,261,18,PASS,,,"The only per-dataset deviations are the documented Ausgrid budget reductions (10 epochs, stride 6) required by the larger 17-series pool."
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,46,118,263,12,PASS,,,**Table 3.** Full hyperparameter disclosure (from `src/configs/real_hyg_neural_config.json` and `src/configs/real_p2_v7_config.json`).
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,47,119,282,31,PASS,,,"**Fairness statement.** Every model in a comparison shares the training regime, normalization, split boundaries, early-stopping rule, and computational budget class; the proposed model is held at the MLP baseline's parameter budget."
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,47,120,282,23,PASS,,,The exact Ausgrid rerun moves all eleven models to the same GPU execution path and gives all of them the same ten seeds.
mintou_p2_hygraph_load_forecasting,Electronics,5.2. Training Protocol and Hyperparameter Disclosure,47,121,282,18,PASS,,,Hardware changes between dataset blocks but never within a comparison block; runtime values are interpreted only within datasets.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,122,286,21,PASS,,,"The decision-relevant model set--CSA-LoadNet, its five ablations, and the MLP--was run for ten seeds per dataset/horizon on OPSD and SimBench."
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,123,286,9,PASS,,,Each OPSD or SimBench block contains six proposed-versus-opponent comparisons.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,124,286,17,PASS,,,"On the corrected Ausgrid hierarchy, all eleven models use the same ten seeds under four reconciliation regimes."
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,125,286,18,PASS,,,Primary OLS model tests use two declared five-comparison role families; the post-freeze paired-sensitivity block contains all ten opponents.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,126,286,12,PASS,,,The frozen primary analysis uses two-sided Mann--Whitney U tests with Holm correction.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,127,286,14,PASS,,,"The complete primary table reports rank-biserial effects and pointwise, multiplicity-unadjusted 5000-resample mean-difference intervals (`real_p2_primary_inference_v2.csv`)."
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,48,128,286,16,PASS,,,Exact paired sign-flip tests exploit common seeds only as a sensitivity analysis; Holm p-values determine significance.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,49,129,288,15,PASS,,,"For reproducibility, let $e_{a,s}$ be the primary error of method $a$ at seed $s$."
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,49,130,288,6,PASS,,,The reported mean and dispersion are
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,50,131,295,11,PASS,,,"For a proposed--baseline comparison with rank sum $R_1$, the Mann--Whitney statistic is"
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,51,132,302,22,PASS,,,"If $p_{(1)}\leq\cdots\leq p_{(m)}$ are the ordered raw p-values within one dataset--horizon family, the monotone Holm-adjusted values used in Figure 3 are"
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,52,133,309,17,PASS,,,"The seed-paired descriptive effect in Figure 6 is computed only when the same seeds exist for both methods,"
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,53,134,315,5,PASS,,,so positive values favor CSA-LoadNet.
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,53,135,315,10,PASS,,,"This percentage is an effect display, not the test statistic."
mintou_p2_hygraph_load_forecasting,Electronics,5.3. Statistical Methodology,53,136,315,13,PASS,,,No pair with unequal seed support is promoted to a paired inferential comparison.
