review_order,blind_item_id,dataset,question,gold_sql,query_class_proposed,difficulty_proposed,referenced_tables,result_columns,result_row_count,result_preview,decision,semantic_alignment,question_unambiguous,units_correct,sql_correct,answer_useful,query_class_reviewed,difficulty_reviewed,issue_codes,proposed_question,proposed_sql,confidence_1_to_5,reviewer_qualification,reviewer_signature,completed_at_utc,reviewer_notes
15,MAHR-B9BBE1CE2191,SimBench,What is the average line length in kilometres?,"SELECT ROUND(AVG(length_km), 6) AS average_line_length_km FROM lines",aggregate,medium,lines,average_line_length_km,1,[[0.257279]],,,,,,,,,,,,,,,,
16,MAHR-46955DA6D70E,RTS-GMLC,How many Coal-fueled generators are there and what is their total maximum capacity?,"SELECT g.fuel, COUNT(*) AS generator_count, ROUND(SUM(c.pmax_mw), 2) AS total_pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE g.fuel = 'Coal' GROUP BY g.fuel",join,medium,generators|generator_constraints,fuel|generator_count|total_pmax_mw,1,"[[""Coal"",16,2317.0]]",,,,,,,,,,,,,,,,
17,MAHR-3259C71FC6D9,SimBench,What is the total rated transformer capacity in MVA?,"SELECT ROUND(SUM(rated_power_mva), 6) AS total_transformer_mva FROM transformers",aggregate,medium,transformers,total_transformer_mva,1,[[126.0]],,,,,,,,,,,,,,,,
18,MAHR-507821C0492E,RTS-GMLC,What was the maximum day-ahead spinning reserve requirement for each product on 2020-01-02?,"SELECT reserve_product, ROUND(MAX(requirement_mw), 3) AS maximum_requirement_mw FROM reserve_requirements_da WHERE timestamp >= '2020-01-02 00:00:00' AND timestamp < datetime('2020-01-02 00:00:00', '+1 day') GROUP BY reserve_product ORDER BY reserve_product",aggregate,medium,reserve_requirements_da,reserve_product|maximum_requirement_mw,3,"[[""Spin_Up_R1"",38.223],[""Spin_Up_R2"",42.07],[""Spin_Up_R3"",56.68]]",,,,,,,,,,,,,,,,
19,MAHR-31E5621EC23F,SimBench,List in-service lines longer than 2 km.,"SELECT line_id, name, length_km FROM lines WHERE in_service = 1 AND length_km > 2 ORDER BY length_km DESC, line_id",filter,easy,lines,line_id|name|length_km,0,[],,,,,,,,,,,,,,,,
20,MAHR-C8E186EEE250,RTS-GMLC,List the generator identifiers and unit types for Coal-fueled units.,"SELECT generator_uid, unit_type FROM generators WHERE fuel = 'Coal' ORDER BY generator_uid",filter,easy,generators,generator_uid|unit_type,16,"[[""101_STEAM_3"",""STEAM""],[""101_STEAM_4"",""STEAM""],[""102_STEAM_3"",""STEAM""],[""102_STEAM_4"",""STEAM""],[""115_STEAM_3"",""STEAM""]]",,,,,,,,,,,,,,,,
21,MAHR-AC35D8DC7762,SimBench,Which transformer has the largest rated power?,"SELECT transformer_id, name, rated_power_mva FROM transformers ORDER BY rated_power_mva DESC, transformer_id LIMIT 1",top_k,medium,transformers,transformer_id|name|rated_power_mva,1,"[[0,""HV1-MV3.101-Trafo1"",63.0]]",,,,,,,,,,,,,,,,
22,MAHR-F0D17BA4A4F9,SimBench,How many load assets are recorded?,SELECT COUNT(*) AS load_count FROM loads,single_table,easy,loads,load_count,1,[[139]],,,,,,,,,,,,,,,,
23,MAHR-EFF5ABC70C26,RTS-GMLC,"Return the top 1 generators by non-fuel start cost, excluding missing values.","SELECT g.generator_uid, g.fuel, c.nonfuel_start_cost_usd FROM generator_costs c JOIN generators g ON c.generator_uid = g.generator_uid WHERE c.nonfuel_start_cost_usd IS NOT NULL ORDER BY c.nonfuel_start_cost_usd DESC, g.generator_uid LIMIT 1",top_k,medium,generator_costs|generators,generator_uid|fuel|nonfuel_start_cost_usd,1,"[[""212_CSP_1"",""Solar"",10000.0]]",,,,,,,,,,,,,,,,
24,MAHR-67C2361239BD,SimBench,Which generators are controllable?,"SELECT generator_id, name, generator_type FROM generators WHERE controllable = 1 ORDER BY generator_id",filter,easy,generators,generator_id|name|generator_type,0,[],,,,,,,,,,,,,,,,
25,MAHR-61FDEAB1819D,SimBench,How many buses belong to each nominal voltage level?,"SELECT nominal_kv, COUNT(*) AS bus_count FROM buses GROUP BY nominal_kv ORDER BY nominal_kv DESC",aggregate,medium,buses,nominal_kv|bus_count,2,"[[110.0,2],[10.0,142]]",,,,,,,,,,,,,,,,
26,MAHR-2CC4695A3971,SimBench,"Show open switches that are attached to line elements, including the line name.","SELECT s.switch_id, s.name AS switch_name, l.line_id, l.name AS line_name FROM switches s JOIN lines l ON s.element_type = 'l' AND l.line_id = s.element_id WHERE s.closed = 0 ORDER BY s.switch_id",topology,hard,lines|switches,switch_id|switch_name|line_id|line_name,11,"[[278,""MV3.101 loop_line_switch 1.2"",133,""MV3.101 loop_line 1""],[280,""MV3.101 loop_line_switch 2.2"",134,""MV3.101 loop_line 2""],[282,""MV3.101 loop_line_switch 3.2"",135,""MV3.101 loop_line 3""],[284,""MV3.101 loop_line_switch 4.2"",136,""MV3.101 loop_line 4""],[286,""MV3.101 loop_line_switch 5.2"",137,""MV3.101 loop_line 5""]]",,,,,,,,,,,,,,,,
27,MAHR-86E4C1AF4F0A,SimBench,Which five buses have the highest line degree?,"WITH endpoints AS (SELECT from_bus_id AS bus_id FROM lines UNION ALL SELECT to_bus_id AS bus_id FROM lines) SELECT b.bus_id, b.name, COUNT(*) AS line_degree FROM endpoints e JOIN buses b ON b.bus_id = e.bus_id GROUP BY b.bus_id, b.name ORDER BY line_degree DESC, b.bus_id LIMIT 5",topology,hard,buses|endpoints|lines,bus_id|name|line_degree,5,"[[4,""MV3.101 busbar1A"",3],[5,""MV3.101 busbar1B"",3],[7,""MV3.101 busbar2B"",3],[8,""MV3.101 BS busbar1A"",3],[10,""MV3.101 BS busbar1C"",3]]",,,,,,,,,,,,,,,,
28,MAHR-C6F760AFEF1B,RTS-GMLC,"List generators connected to buses in area 3, with their bus names and fuels.","SELECT g.generator_uid, b.bus_name, g.fuel FROM generators g JOIN buses b ON g.bus_id = b.bus_id WHERE b.area = 3 ORDER BY b.bus_name, g.generator_uid",join,medium,generators|buses,generator_uid|bus_name|fuel,69,"[[""301_CT_1"",""Cabell"",""Oil""],[""301_CT_2"",""Cabell"",""Oil""],[""301_CT_3"",""Cabell"",""NG""],[""301_CT_4"",""Cabell"",""NG""],[""302_CT_1"",""Cabot"",""Oil""]]",,,,,,,,,,,,,,,,
29,MAHR-22391193F11C,RTS-GMLC,"For 2020-07-05, summarize total day-ahead generation by fuel.","SELECT g.fuel, ROUND(SUM(d.generation_mw), 2) AS total_generation_mwh FROM dispatch_da d JOIN generators g ON d.generator_uid = g.generator_uid WHERE d.timestamp >= '2020-07-05 00:00:00' AND d.timestamp < datetime('2020-07-05 00:00:00', '+1 day') GROUP BY g.fuel ORDER BY total_generation_mwh DESC, g.fuel",join,hard,dispatch_da|generators,fuel|total_generation_mwh,8,"[[""Coal"",41545.6],[""NG"",39746.29],[""Solar"",17510.21],[""Hydro"",14549.6],[""Nuclear"",9588.0]]",,,,,,,,,,,,,,,,
30,MAHR-BEABE967F459,RTS-GMLC,What was the maximum day-ahead spinning reserve requirement for each product on 2020-01-05?,"SELECT reserve_product, ROUND(MAX(requirement_mw), 3) AS maximum_requirement_mw FROM reserve_requirements_da WHERE timestamp >= '2020-01-05 00:00:00' AND timestamp < datetime('2020-01-05 00:00:00', '+1 day') GROUP BY reserve_product ORDER BY reserve_product",aggregate,medium,reserve_requirements_da,reserve_product|maximum_requirement_mw,3,"[[""Spin_Up_R1"",36.595],[""Spin_Up_R2"",39.971],[""Spin_Up_R3"",46.902]]",,,,,,,,,,,,,,,,
31,MAHR-2CCB5A994BE8,RTS-GMLC,Return the top 15 generators by maximum MW capacity.,"SELECT g.generator_uid, g.fuel, c.pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid ORDER BY c.pmax_mw DESC, g.generator_uid LIMIT 15",top_k,easy,generators|generator_constraints,generator_uid|fuel|pmax_mw,15,"[[""303_WIND_1"",""Wind"",847.0],[""317_WIND_1"",""Wind"",799.1],[""122_WIND_1"",""Wind"",713.5],[""121_NUCLEAR_1"",""Nuclear"",400.0],[""107_CC_1"",""NG"",355.0]]",,,,,,,,,,,,,,,,
32,MAHR-5555815B1EBA,SimBench,Which five generator profiles occur most often?,"SELECT profile, COUNT(*) AS generator_count FROM generators GROUP BY profile ORDER BY generator_count DESC, profile LIMIT 5",top_k,medium,generators,profile|generator_count,5,"[[""lv_semiurb5"",50],[""lv_semiurb4"",42],[""lv_urban6"",32],[""lv_rural3"",9],[""Hydro3"",1]]",,,,,,,,,,,,,,,,
33,MAHR-2B934D057480,RTS-GMLC,What was the average day-ahead load for each region on 2020-01-04?,"SELECT region, ROUND(AVG(load_mw), 2) AS average_load_mw FROM load_timeseries_da WHERE timestamp >= '2020-01-04 00:00:00' AND timestamp < datetime('2020-01-04 00:00:00', '+1 day') GROUP BY region ORDER BY region",aggregate,medium,load_timeseries_da,region|average_load_mw,3,"[[1,1062.99],[2,1155.57],[3,1329.39]]",,,,,,,,,,,,,,,,
34,MAHR-78F385AE89C2,RTS-GMLC,List the generator identifiers and unit types for Solar-fueled units.,"SELECT generator_uid, unit_type FROM generators WHERE fuel = 'Solar' ORDER BY generator_uid",filter,easy,generators,generator_uid|unit_type,57,"[[""101_PV_1"",""PV""],[""101_PV_2"",""PV""],[""101_PV_3"",""PV""],[""101_PV_4"",""PV""],[""102_PV_1"",""PV""]]",,,,,,,,,,,,,,,,
35,MAHR-918C3D145C54,SimBench,List hydro generators in service.,"SELECT generator_id, name, active_power_mw FROM generators WHERE generator_type LIKE '%Hydro%' AND in_service = 1 ORDER BY generator_id",filter,easy,generators,generator_id|name|active_power_mw,1,"[[133,""MV3.101 MV SGen 1"",2.9]]",,,,,,,,,,,,,,,,
36,MAHR-AA4BFF1AD3C2,SimBench,"For each transformer, show the nominal voltage transition between its connected buses.","SELECT t.transformer_id, t.name, hb.nominal_kv AS high_bus_kv, lb.nominal_kv AS low_bus_kv FROM transformers t JOIN buses hb ON hb.bus_id = t.hv_bus_id JOIN buses lb ON lb.bus_id = t.lv_bus_id ORDER BY t.transformer_id",topology,hard,buses|transformers,transformer_id|name|high_bus_kv|low_bus_kv,2,"[[0,""HV1-MV3.101-Trafo1"",110.0,10.0],[1,""HV1-MV3.101-Trafo2"",110.0,10.0]]",,,,,,,,,,,,,,,,
37,MAHR-7D43A81C5045,RTS-GMLC,"List generators connected to buses in area 1, with their bus names and fuels.","SELECT g.generator_uid, b.bus_name, g.fuel FROM generators g JOIN buses b ON g.bus_id = b.bus_id WHERE b.area = 1 ORDER BY b.bus_name, g.generator_uid",join,medium,generators|buses,generator_uid|bus_name|fuel,52,"[[""101_CT_1"",""Abel"",""Oil""],[""101_CT_2"",""Abel"",""Oil""],[""101_PV_1"",""Abel"",""Solar""],[""101_PV_2"",""Abel"",""Solar""],[""101_PV_3"",""Abel"",""Solar""]]",,,,,,,,,,,,,,,,
38,MAHR-D0C700FD14C0,RTS-GMLC,Return the top 10 generators by maximum MW capacity.,"SELECT g.generator_uid, g.fuel, c.pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid ORDER BY c.pmax_mw DESC, g.generator_uid LIMIT 10",top_k,easy,generators|generator_constraints,generator_uid|fuel|pmax_mw,10,"[[""303_WIND_1"",""Wind"",847.0],[""317_WIND_1"",""Wind"",799.1],[""122_WIND_1"",""Wind"",713.5],[""121_NUCLEAR_1"",""Nuclear"",400.0],[""107_CC_1"",""NG"",355.0]]",,,,,,,,,,,,,,,,
39,MAHR-2CB5C286A9AE,SimBench,What is the total maximum active power of all loads in MW?,"SELECT ROUND(SUM(maximum_active_power_mw), 6) AS total_load_max_mw FROM loads",aggregate,medium,loads,total_load_max_mw,1,[[null]],,,,,,,,,,,,,,,,
40,MAHR-A405AFD1DF07,RTS-GMLC,What was the average day-ahead load for each region on 2020-01-02?,"SELECT region, ROUND(AVG(load_mw), 2) AS average_load_mw FROM load_timeseries_da WHERE timestamp >= '2020-01-02 00:00:00' AND timestamp < datetime('2020-01-02 00:00:00', '+1 day') GROUP BY region ORDER BY region",aggregate,medium,load_timeseries_da,region|average_load_mw,3,"[[1,1120.31],[2,1200.45],[3,1532.24]]",,,,,,,,,,,,,,,,
41,MAHR-20B8E1558F8E,RTS-GMLC,Which generators require at least 8 hours of minimum up time?,"SELECT g.generator_uid, g.unit_type, c.min_up_time_hr FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE c.min_up_time_hr >= 8 ORDER BY c.min_up_time_hr DESC, g.generator_uid",join,medium,generators|generator_constraints,generator_uid|unit_type|min_up_time_hr,27,"[[""121_NUCLEAR_1"",""NUCLEAR"",24.0],[""123_STEAM_3"",""STEAM"",24.0],[""223_STEAM_3"",""STEAM"",24.0],[""101_STEAM_3"",""STEAM"",8.0],[""101_STEAM_4"",""STEAM"",8.0]]",,,,,,,,,,,,,,,,
42,MAHR-9930DA539DF1,RTS-GMLC,What was the average day-ahead load for each region on 2020-01-03?,"SELECT region, ROUND(AVG(load_mw), 2) AS average_load_mw FROM load_timeseries_da WHERE timestamp >= '2020-01-03 00:00:00' AND timestamp < datetime('2020-01-03 00:00:00', '+1 day') GROUP BY region ORDER BY region",aggregate,medium,load_timeseries_da,region|average_load_mw,3,"[[1,1100.83],[2,1190.25],[3,1524.33]]",,,,,,,,,,,,,,,,
43,MAHR-72BAFBEB1CD5,RTS-GMLC,"Return the top 10 generators by non-fuel start cost, excluding missing values.","SELECT g.generator_uid, g.fuel, c.nonfuel_start_cost_usd FROM generator_costs c JOIN generators g ON c.generator_uid = g.generator_uid WHERE c.nonfuel_start_cost_usd IS NOT NULL ORDER BY c.nonfuel_start_cost_usd DESC, g.generator_uid LIMIT 10",top_k,medium,generator_costs|generators,generator_uid|fuel|nonfuel_start_cost_usd,10,"[[""212_CSP_1"",""Solar"",10000.0],[""101_CT_1"",""Oil"",0.0],[""101_CT_2"",""Oil"",0.0],[""101_PV_1"",""Solar"",0.0],[""101_PV_2"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
44,MAHR-B8B7691A2F9C,RTS-GMLC,"List generators connected to PV buses, with bus names and base voltage.","SELECT g.generator_uid, b.bus_name, b.base_kv FROM generators g JOIN buses b ON g.bus_id = b.bus_id WHERE b.bus_type = 'PV' ORDER BY b.base_kv DESC, g.generator_uid",join,medium,generators|buses,generator_uid|bus_name|base_kv,131,"[[""114_SYNC_COND_1"",""Arnold"",230.0],[""115_STEAM_1"",""Arthur"",230.0],[""115_STEAM_2"",""Arthur"",230.0],[""115_STEAM_3"",""Arthur"",230.0],[""116_STEAM_1"",""Asser"",230.0]]",,,,,,,,,,,,,,,,
45,MAHR-50D2516FE708,SimBench,List buses whose nominal voltage is at least 100 kV.,"SELECT bus_id, name, nominal_kv FROM buses WHERE nominal_kv >= 100 ORDER BY bus_id",filter,easy,buses,bus_id|name|nominal_kv,2,"[[0,""HV1 Bus 25"",110.0],[1,""HV1 Bus 26"",110.0]]",,,,,,,,,,,,,,,,
46,MAHR-26AEECD5281D,SimBench,Which loads have a maximum active power above 1 MW?,"SELECT load_id, name, maximum_active_power_mw FROM loads WHERE maximum_active_power_mw > 1 ORDER BY maximum_active_power_mw DESC, load_id",filter,easy,loads,load_id|name|maximum_active_power_mw,0,[],,,,,,,,,,,,,,,,
47,MAHR-2368E0A627B0,RTS-GMLC,What was the maximum day-ahead spinning reserve requirement for each product on 2020-01-03?,"SELECT reserve_product, ROUND(MAX(requirement_mw), 3) AS maximum_requirement_mw FROM reserve_requirements_da WHERE timestamp >= '2020-01-03 00:00:00' AND timestamp < datetime('2020-01-03 00:00:00', '+1 day') GROUP BY reserve_product ORDER BY reserve_product",aggregate,medium,reserve_requirements_da,reserve_product|maximum_requirement_mw,3,"[[""Spin_Up_R1"",37.028],[""Spin_Up_R2"",40.819],[""Spin_Up_R3"",55.896]]",,,,,,,,,,,,,,,,
48,MAHR-8D3CDDDD572C,RTS-GMLC,Which generators produced positive output at 2020-07-05 04:00:00 in the all-transmission day-ahead solution?,"SELECT generator_uid, generation_mw FROM dispatch_da WHERE timestamp = '2020-07-05 04:00:00' AND transmission_scenario = 'allTX' AND generation_mw > 0 ORDER BY generation_mw DESC, generator_uid",filter,medium,dispatch_da,generator_uid|generation_mw,47,"[[""121_NUCLEAR_1"",400.0],[""313_CC_1"",231.7],[""123_STEAM_3"",210.0],[""223_STEAM_3"",210.0],[""107_CC_1"",170.0]]",,,,,,,,,,,,,,,,
49,MAHR-76CB188872BC,RTS-GMLC,How many Solar-fueled generators are there and what is their total maximum capacity?,"SELECT g.fuel, COUNT(*) AS generator_count, ROUND(SUM(c.pmax_mw), 2) AS total_pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE g.fuel = 'Solar' GROUP BY g.fuel",join,medium,generators|generator_constraints,fuel|generator_count|total_pmax_mw,1,"[[""Solar"",57,2915.9]]",,,,,,,,,,,,,,,,
50,MAHR-ED5CE17C8C85,RTS-GMLC,"Return the five renewable generators with the highest available MW at 2020-01-01 01:00:00, including their fuel labels.","SELECT r.generator_uid, g.fuel, r.available_mw FROM renewable_availability_da r JOIN generators g ON r.generator_uid = g.generator_uid WHERE r.timestamp = '2020-01-01 01:00:00' ORDER BY r.available_mw DESC, r.generator_uid LIMIT 5",top_k,medium,renewable_availability_da|generators,generator_uid|fuel|available_mw,5,"[[""317_WIND_1"",""Wind"",794.4],[""122_WIND_1"",""Wind"",712.8],[""303_WIND_1"",""Wind"",634.9],[""309_WIND_1"",""Wind"",139.1],[""101_PV_1"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
51,MAHR-8B354A4EB53D,RTS-GMLC,"For 2020-07-06, summarize total day-ahead generation by fuel.","SELECT g.fuel, ROUND(SUM(d.generation_mw), 2) AS total_generation_mwh FROM dispatch_da d JOIN generators g ON d.generator_uid = g.generator_uid WHERE d.timestamp >= '2020-07-06 00:00:00' AND d.timestamp < datetime('2020-07-06 00:00:00', '+1 day') GROUP BY g.fuel ORDER BY total_generation_mwh DESC, g.fuel",join,hard,dispatch_da|generators,fuel|total_generation_mwh,8,"[[""Coal"",42440.49],[""NG"",37030.8],[""Solar"",17598.09],[""Hydro"",15601.8],[""Nuclear"",9596.0]]",,,,,,,,,,,,,,,,
52,MAHR-5D7652D6F7B5,SimBench,Which five load profiles occur most often?,"SELECT profile, COUNT(*) AS load_count FROM loads GROUP BY profile ORDER BY load_count DESC, profile LIMIT 5",top_k,medium,loads,profile|load_count,5,"[[""lv_semiurb5"",50],[""lv_semiurb4"",42],[""lv_urban6"",32],[""lv_rural3"",9],[""BL-H"",1]]",,,,,,,,,,,,,,,,
53,MAHR-B9FD2BC8E117,RTS-GMLC,Which generators produced positive output at 2020-07-05 00:00:00 in the all-transmission day-ahead solution?,"SELECT generator_uid, generation_mw FROM dispatch_da WHERE timestamp = '2020-07-05 00:00:00' AND transmission_scenario = 'allTX' AND generation_mw > 0 ORDER BY generation_mw DESC, generator_uid",filter,medium,dispatch_da,generator_uid|generation_mw,48,"[[""303_WIND_1"",401.2],[""121_NUCLEAR_1"",400.0],[""123_STEAM_3"",280.0],[""118_CC_1"",231.7],[""313_CC_1"",231.7]]",,,,,,,,,,,,,,,,
54,MAHR-6D8E9F4BD513,RTS-GMLC,How many Hydro-fueled generators are there and what is their total maximum capacity?,"SELECT g.fuel, COUNT(*) AS generator_count, ROUND(SUM(c.pmax_mw), 2) AS total_pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE g.fuel = 'Hydro' GROUP BY g.fuel",join,medium,generators|generator_constraints,fuel|generator_count|total_pmax_mw,1,"[[""Hydro"",20,1000.0]]",,,,,,,,,,,,,,,,
55,MAHR-8BCB8B72B637,SimBench,How many switches are represented?,SELECT COUNT(*) AS switch_count FROM switches,single_table,easy,switches,switch_count,1,[[305]],,,,,,,,,,,,,,,,
