run_namespace,cap,horizon_hours,selection_objective,contrast_id,block_length,repetitions,rng,rng_seed,n_test_targets,execution_status,unresampled_mean,percentile_2_5,percentile_97_5,interval_label,analysis_scope,resampling_unit,decision_role,prohibited_extension
p1_ieee_access_upgrade_v2,0.70,1,mae,selected_learned_vs_gru_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,-0.00496068912015,-0.0056806732701,-0.00427678721412,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_dlinear_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,-0.0129372525467,-0.0160830671669,-0.0105352121145,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_tcn_head,24,5000,NumPy Generator(PCG64),610024,2627,completed,0.00258370518018,0.00186771819566,0.00344462189411,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head_vs_tcn_head,168,5000,NumPy Generator(PCG64),610168,2627,completed,0.00258370518018,0.00172109826342,0.00385059933079,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,selected_learned_vs_gru_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,-0.00220055392224,-0.0032293832505,-0.00115355556996,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,selected_learned_vs_gru_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,-0.00220055392224,-0.00301661889461,-0.00117239911494,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_gru_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,-0.00220055392224,-0.0032293832505,-0.00115355556996,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_gru_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,-0.00220055392224,-0.00301661889461,-0.00117239911494,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,fixed_half_vs_gru_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,-0.00122620749799,-0.00173745770812,-0.000703809646018,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,fixed_half_vs_gru_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,-0.00122620749799,-0.00161216408789,-0.000730685175608,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_fixed_half,24,5000,NumPy Generator(PCG64),624024,2604,completed,-0.000974346424245,-0.00149545161341,-0.000450687880961,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_fixed_half,168,5000,NumPy Generator(PCG64),624168,2604,completed,-0.000974346424245,-0.00140742059156,-0.000427182856502,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_raw,24,5000,NumPy Generator(PCG64),624024,2604,completed,0.00126542774138,-0.000323140886659,0.00305015172048,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_raw,168,5000,NumPy Generator(PCG64),624168,2604,completed,0.00126542774138,-8.18753410733e-05,0.00309993209243,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_randomized,24,5000,NumPy Generator(PCG64),624024,2604,completed,-4.82585204661e-05,-0.000177572146621,8.5038104488e-05,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,learned_retrieval_vs_randomized,168,5000,NumPy Generator(PCG64),624168,2604,completed,-4.82585204661e-05,-0.00018966106777,9.71650710784e-05,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_lstm_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,0.000646588863412,0.000427522713244,0.000860859214977,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_lstm_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,0.000646588863412,0.000355287342578,0.000893257345737,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_dlinear_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,-0.00383620163835,-0.00478053336736,-0.00279693274785,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_dlinear_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,-0.00383620163835,-0.00474412510484,-0.00278384764109,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_tcn_head,24,5000,NumPy Generator(PCG64),624024,2604,completed,0.00012198516192,-0.000348362370685,0.000554456452756,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
p1_ieee_access_upgrade_v2,0.70,24,mae,gru_head_vs_tcn_head,168,5000,NumPy Generator(PCG64),624168,2604,completed,0.00012198516192,-0.00037224550556,0.000552098051366,descriptive moving-block sensitivity on one observed sequence,conditional descriptive sensitivity on paired hourly loss differences from the single observed test sequence,chronological series of the across-seed mean paired hourly absolute-loss difference,does not enter Holm decisions and does not override the paired-seed analysis,confidence interval across years or systems; independent hourly replication; deployment evidence
