paper_id,experiment_id,method,method_role,repeat,mae,mape,peak_load_error,quality_index,rmse,runtime_s,scenario_status,spatial_transfer_error
mintou_p2,one_step_forecast,Transformer,baseline,5,0.593468,0.130107,0.178868,0.693524,0.699163,1.097426,synthetic_smoke_v0,0.208283
mintou_p2,one_step_forecast,Euclidean GCN,baseline,1,0.578604,0.127116,0.174496,0.696974,0.693129,1.236375,synthetic_smoke_v0,0.204931
mintou_p2,one_step_forecast,Euclidean GCN,baseline,2,0.547207,0.122281,0.166971,0.726957,0.676105,0.946380,synthetic_smoke_v0,0.188424
mintou_p2,one_step_forecast,Euclidean GCN,baseline,3,0.570012,0.125935,0.166545,0.726520,0.668039,0.958931,synthetic_smoke_v0,0.188247
mintou_p2,one_step_forecast,Euclidean GCN,baseline,4,0.576648,0.130308,0.171264,0.694183,0.705382,0.931220,synthetic_smoke_v0,0.199426
mintou_p2,one_step_forecast,Euclidean GCN,baseline,5,0.561578,0.128023,0.166145,0.725561,0.659291,1.305729,synthetic_smoke_v0,0.191505
mintou_p2,one_step_forecast,GCN-Transformer,baseline,1,0.555062,0.126333,0.168852,0.729349,0.685375,1.254134,synthetic_smoke_v0,0.190722
mintou_p2,one_step_forecast,GCN-Transformer,baseline,2,0.531985,0.124148,0.168220,0.754713,0.652554,1.056030,synthetic_smoke_v0,0.190971
mintou_p2,one_step_forecast,GCN-Transformer,baseline,3,0.534543,0.124166,0.171366,0.737947,0.677066,1.342460,synthetic_smoke_v0,0.188712
mintou_p2,one_step_forecast,GCN-Transformer,baseline,4,0.563705,0.121659,0.173006,0.734442,0.677933,1.272280,synthetic_smoke_v0,0.200084
mintou_p2,one_step_forecast,GCN-Transformer,baseline,5,0.552169,0.119875,0.168000,0.746114,0.652461,1.337030,synthetic_smoke_v0,0.186855
mintou_p2,one_step_forecast,CNN-LSTM,baseline,1,0.593595,0.135265,0.181722,0.681221,0.716462,0.821820,synthetic_smoke_v0,0.210414
mintou_p2,one_step_forecast,CNN-LSTM,baseline,2,0.592992,0.133903,0.179270,0.682725,0.721267,0.952384,synthetic_smoke_v0,0.195803
mintou_p2,one_step_forecast,CNN-LSTM,baseline,3,0.578981,0.129341,0.180920,0.682457,0.717807,0.842572,synthetic_smoke_v0,0.208518
mintou_p2,one_step_forecast,CNN-LSTM,baseline,4,0.601270,0.134459,0.180052,0.682586,0.697545,1.068370,synthetic_smoke_v0,0.207527
mintou_p2,one_step_forecast,CNN-LSTM,baseline,5,0.598134,0.133377,0.177018,0.679540,0.709866,1.161509,synthetic_smoke_v0,0.197946
mintou_p2,one_step_forecast,euclidean_gcn,ablation,1,0.510860,0.118990,0.155747,0.793803,0.608461,1.025201,synthetic_smoke_v0,0.184194
mintou_p2,one_step_forecast,euclidean_gcn,ablation,2,0.513899,0.112039,0.155118,0.801550,0.618219,1.235694,synthetic_smoke_v0,0.181571
mintou_p2,one_step_forecast,euclidean_gcn,ablation,3,0.506533,0.116888,0.154547,0.801162,0.606540,1.154369,synthetic_smoke_v0,0.181912
mintou_p2,one_step_forecast,euclidean_gcn,ablation,4,0.488450,0.118655,0.150973,0.805000,0.603926,1.334342,synthetic_smoke_v0,0.185195
mintou_p2,one_step_forecast,euclidean_gcn,ablation,5,0.480088,0.112212,0.153969,0.814055,0.595403,1.341478,synthetic_smoke_v0,0.180389
mintou_p2,one_step_forecast,fixed_curvature,ablation,1,0.516583,0.118706,0.156697,0.801977,0.624118,1.190302,synthetic_smoke_v0,0.180140
mintou_p2,one_step_forecast,fixed_curvature,ablation,2,0.501171,0.113493,0.156299,0.797440,0.625185,1.275201,synthetic_smoke_v0,0.181831
mintou_p2,one_step_forecast,fixed_curvature,ablation,3,0.516934,0.121387,0.158880,0.787881,0.617568,1.246451,synthetic_smoke_v0,0.182566
mintou_p2,one_step_forecast,fixed_curvature,ablation,4,0.533457,0.119483,0.156686,0.779194,0.630811,1.170724,synthetic_smoke_v0,0.183755
mintou_p2,one_step_forecast,fixed_curvature,ablation,5,0.532348,0.120374,0.159905,0.778748,0.621334,1.189590,synthetic_smoke_v0,0.183065
mintou_p2,one_step_forecast,temporal_only,ablation,1,0.518051,0.119445,0.166428,0.763929,0.652667,1.271335,synthetic_smoke_v0,0.193581
mintou_p2,one_step_forecast,temporal_only,ablation,2,0.527407,0.114255,0.161098,0.784832,0.626972,1.048645,synthetic_smoke_v0,0.183346
mintou_p2,one_step_forecast,temporal_only,ablation,3,0.504341,0.118669,0.161734,0.787551,0.625570,1.059067,synthetic_smoke_v0,0.186205
mintou_p2,one_step_forecast,temporal_only,ablation,4,0.527194,0.117277,0.157341,0.772256,0.644583,1.426304,synthetic_smoke_v0,0.186921
mintou_p2,one_step_forecast,temporal_only,ablation,5,0.507391,0.115683,0.158901,0.791412,0.633455,1.358908,synthetic_smoke_v0,0.178619
mintou_p2,one_step_forecast,no_weather_features,ablation,1,0.526021,0.118012,0.160692,0.761160,0.632319,1.324476,synthetic_smoke_v0,0.188700
mintou_p2,one_step_forecast,no_weather_features,ablation,2,0.530713,0.117635,0.166041,0.774117,0.643444,1.243394,synthetic_smoke_v0,0.180108
mintou_p2,one_step_forecast,no_weather_features,ablation,3,0.531418,0.122951,0.165426,0.751878,0.644912,1.296137,synthetic_smoke_v0,0.190750
mintou_p2,one_step_forecast,no_weather_features,ablation,4,0.539891,0.124768,0.170669,0.743816,0.661144,1.462911,synthetic_smoke_v0,0.187290
mintou_p2,one_step_forecast,no_weather_features,ablation,5,0.527743,0.120277,0.158880,0.753212,0.658522,1.113481,synthetic_smoke_v0,0.186373
mintou_p2,one_step_forecast,physical_edges_only,ablation,1,0.546625,0.127274,0.165956,0.734218,0.652608,1.138124,synthetic_smoke_v0,0.192301
mintou_p2,one_step_forecast,physical_edges_only,ablation,2,0.553381,0.127203,0.171266,0.734347,0.652948,1.164960,synthetic_smoke_v0,0.189029
mintou_p2,one_step_forecast,physical_edges_only,ablation,3,0.554976,0.126340,0.164299,0.736237,0.661265,1.262888,synthetic_smoke_v0,0.186382
mintou_p2,one_step_forecast,physical_edges_only,ablation,4,0.558920,0.124835,0.166242,0.741770,0.651556,1.466293,synthetic_smoke_v0,0.190440
mintou_p2,one_step_forecast,physical_edges_only,ablation,5,0.543849,0.123514,0.161268,0.747513,0.651103,1.307008,synthetic_smoke_v0,0.186102
mintou_p2,one_step_forecast,poincare_only,ablation,1,0.544470,0.127623,0.165161,0.735308,0.659487,1.262019,synthetic_smoke_v0,0.197819
mintou_p2,one_step_forecast,poincare_only,ablation,2,0.550581,0.125932,0.169156,0.716452,0.686137,1.121778,synthetic_smoke_v0,0.201826
mintou_p2,one_step_forecast,poincare_only,ablation,3,0.561130,0.128554,0.164917,0.728802,0.660004,1.202907,synthetic_smoke_v0,0.196727
mintou_p2,one_step_forecast,poincare_only,ablation,4,0.573914,0.128403,0.176477,0.707596,0.701750,1.147300,synthetic_smoke_v0,0.195796
mintou_p2,one_step_forecast,poincare_only,ablation,5,0.559972,0.123347,0.165423,0.732019,0.659678,1.416497,synthetic_smoke_v0,0.196144
mintou_p2,one_step_forecast,short_horizon_only,ablation,1,0.584127,0.131070,0.171468,0.693709,0.704905,1.352337,synthetic_smoke_v0,0.207755
mintou_p2,one_step_forecast,short_horizon_only,ablation,2,0.552435,0.127064,0.174629,0.720892,0.686187,1.503749,synthetic_smoke_v0,0.189540
mintou_p2,one_step_forecast,short_horizon_only,ablation,3,0.553243,0.126199,0.175685,0.713755,0.675035,1.417340,synthetic_smoke_v0,0.193822
mintou_p2,one_step_forecast,short_horizon_only,ablation,4,0.562739,0.127355,0.175408,0.724050,0.663498,1.570980,synthetic_smoke_v0,0.188578
mintou_p2,one_step_forecast,short_horizon_only,ablation,5,0.551279,0.128427,0.172329,0.713974,0.681383,1.469492,synthetic_smoke_v0,0.204210
mintou_p2,multi_step_forecast,HyG-LoadFormer,proposed,1,0.407450,0.098473,0.125468,0.948578,0.487165,0.984472,synthetic_smoke_v0,0.148555
mintou_p2,multi_step_forecast,HyG-LoadFormer,proposed,2,0.427412,0.097600,0.136870,0.925842,0.524859,1.375504,synthetic_smoke_v0,0.155165
mintou_p2,multi_step_forecast,HyG-LoadFormer,proposed,3,0.405824,0.097700,0.132604,0.926852,0.521835,1.023675,synthetic_smoke_v0,0.155834
mintou_p2,multi_step_forecast,HyG-LoadFormer,proposed,4,0.403808,0.096867,0.135378,0.940449,0.494243,1.365552,synthetic_smoke_v0,0.144374
mintou_p2,multi_step_forecast,HyG-LoadFormer,proposed,5,0.383871,0.095512,0.128551,0.956116,0.481436,1.267431,synthetic_smoke_v0,0.156677
mintou_p2,multi_step_forecast,ARIMA,baseline,1,0.641235,0.145342,0.197987,0.592284,0.773866,0.374594,synthetic_smoke_v0,0.218057
mintou_p2,multi_step_forecast,ARIMA,baseline,2,0.655826,0.139011,0.198683,0.594588,0.764602,0.375000,synthetic_smoke_v0,0.225874
mintou_p2,multi_step_forecast,ARIMA,baseline,3,0.639701,0.146597,0.196916,0.595141,0.773886,0.329170,synthetic_smoke_v0,0.225965
mintou_p2,multi_step_forecast,ARIMA,baseline,4,0.636859,0.137582,0.182951,0.618058,0.743346,0.386843,synthetic_smoke_v0,0.212730
mintou_p2,multi_step_forecast,ARIMA,baseline,5,0.657424,0.145863,0.195978,0.590365,0.787178,0.366860,synthetic_smoke_v0,0.226218
mintou_p2,multi_step_forecast,XGBoost,baseline,1,0.571204,0.125378,0.165298,0.726512,0.677323,0.487292,synthetic_smoke_v0,0.201109
mintou_p2,multi_step_forecast,XGBoost,baseline,2,0.568507,0.124579,0.172627,0.711035,0.685782,0.637514,synthetic_smoke_v0,0.203932
mintou_p2,multi_step_forecast,XGBoost,baseline,3,0.580754,0.125148,0.174552,0.700797,0.697467,0.525718,synthetic_smoke_v0,0.193844
mintou_p2,multi_step_forecast,XGBoost,baseline,4,0.552602,0.126368,0.175661,0.723906,0.665861,0.641940,synthetic_smoke_v0,0.194544
mintou_p2,multi_step_forecast,XGBoost,baseline,5,0.556950,0.127245,0.174526,0.719488,0.682173,0.558440,synthetic_smoke_v0,0.191133
mintou_p2,multi_step_forecast,LSTM,baseline,1,0.575056,0.124570,0.173958,0.714718,0.673502,0.653370,synthetic_smoke_v0,0.192642
mintou_p2,multi_step_forecast,LSTM,baseline,2,0.557285,0.128913,0.174199,0.718965,0.668446,0.658399,synthetic_smoke_v0,0.190871
mintou_p2,multi_step_forecast,LSTM,baseline,3,0.548263,0.127318,0.169583,0.726870,0.663954,0.690795,synthetic_smoke_v0,0.200208
mintou_p2,multi_step_forecast,LSTM,baseline,4,0.545144,0.124572,0.169713,0.737998,0.660026,0.796082,synthetic_smoke_v0,0.197232
mintou_p2,multi_step_forecast,LSTM,baseline,5,0.553847,0.126883,0.168041,0.724952,0.681584,0.790804,synthetic_smoke_v0,0.192626
mintou_p2,multi_step_forecast,BiLSTM,baseline,1,0.547482,0.120434,0.167094,0.751451,0.660831,0.790449,synthetic_smoke_v0,0.188582
mintou_p2,multi_step_forecast,BiLSTM,baseline,2,0.544449,0.123712,0.166922,0.758736,0.646844,0.830459,synthetic_smoke_v0,0.183954
mintou_p2,multi_step_forecast,BiLSTM,baseline,3,0.545479,0.126427,0.169073,0.749907,0.651341,0.951964,synthetic_smoke_v0,0.192822
mintou_p2,multi_step_forecast,BiLSTM,baseline,4,0.550294,0.121927,0.168535,0.750500,0.658967,0.831639,synthetic_smoke_v0,0.184653
mintou_p2,multi_step_forecast,BiLSTM,baseline,5,0.517148,0.118141,0.165717,0.765683,0.631710,0.916700,synthetic_smoke_v0,0.194817
mintou_p2,multi_step_forecast,TCN,baseline,1,0.518276,0.119192,0.161786,0.771965,0.636627,0.657815,synthetic_smoke_v0,0.182496
mintou_p2,multi_step_forecast,TCN,baseline,2,0.516405,0.117763,0.157018,0.776279,0.634464,0.832874,synthetic_smoke_v0,0.182514
mintou_p2,multi_step_forecast,TCN,baseline,3,0.525213,0.121267,0.160103,0.776716,0.638462,0.843659,synthetic_smoke_v0,0.183102
mintou_p2,multi_step_forecast,TCN,baseline,4,0.518107,0.117711,0.164348,0.774797,0.625234,0.707594,synthetic_smoke_v0,0.181458
mintou_p2,multi_step_forecast,TCN,baseline,5,0.528907,0.122024,0.168099,0.747749,0.646666,0.801373,synthetic_smoke_v0,0.193148
mintou_p2,multi_step_forecast,Transformer,baseline,1,0.510688,0.120246,0.159631,0.796676,0.605436,1.053410,synthetic_smoke_v0,0.186753
mintou_p2,multi_step_forecast,Transformer,baseline,2,0.502525,0.120540,0.161368,0.792891,0.632263,0.977905,synthetic_smoke_v0,0.179757
mintou_p2,multi_step_forecast,Transformer,baseline,3,0.514924,0.120846,0.165424,0.765091,0.656518,0.974620,synthetic_smoke_v0,0.191864
mintou_p2,multi_step_forecast,Transformer,baseline,4,0.512941,0.116382,0.158459,0.770062,0.652944,1.070618,synthetic_smoke_v0,0.191014
mintou_p2,multi_step_forecast,Transformer,baseline,5,0.494534,0.118355,0.154084,0.797154,0.628602,1.252240,synthetic_smoke_v0,0.179215
mintou_p2,multi_step_forecast,Euclidean GCN,baseline,1,0.509181,0.119078,0.163349,0.788638,0.628039,1.057671,synthetic_smoke_v0,0.188500
mintou_p2,multi_step_forecast,Euclidean GCN,baseline,2,0.533168,0.123025,0.157452,0.775644,0.620815,1.072998,synthetic_smoke_v0,0.191828
mintou_p2,multi_step_forecast,Euclidean GCN,baseline,3,0.511805,0.112812,0.154607,0.800316,0.622989,0.875033,synthetic_smoke_v0,0.184008
mintou_p2,multi_step_forecast,Euclidean GCN,baseline,4,0.526744,0.118003,0.153300,0.786656,0.640553,1.050027,synthetic_smoke_v0,0.179071
mintou_p2,multi_step_forecast,Euclidean GCN,baseline,5,0.510536,0.118254,0.157227,0.802534,0.600703,1.070622,synthetic_smoke_v0,0.175273
mintou_p2,multi_step_forecast,GCN-Transformer,baseline,1,0.490068,0.113949,0.149502,0.834425,0.576736,1.109523,synthetic_smoke_v0,0.165353
mintou_p2,multi_step_forecast,GCN-Transformer,baseline,2,0.479136,0.113556,0.150016,0.819378,0.609720,1.226370,synthetic_smoke_v0,0.179999
mintou_p2,multi_step_forecast,GCN-Transformer,baseline,3,0.502797,0.115137,0.158709,0.806605,0.611120,1.013205,synthetic_smoke_v0,0.181533
mintou_p2,multi_step_forecast,GCN-Transformer,baseline,4,0.473675,0.113102,0.143743,0.839269,0.600132,1.297914,synthetic_smoke_v0,0.171735
mintou_p2,multi_step_forecast,GCN-Transformer,baseline,5,0.475607,0.113928,0.145708,0.839008,0.598964,1.253808,synthetic_smoke_v0,0.178647
mintou_p2,multi_step_forecast,CNN-LSTM,baseline,1,0.550151,0.125350,0.169883,0.752691,0.649860,0.854184,synthetic_smoke_v0,0.185067
mintou_p2,multi_step_forecast,CNN-LSTM,baseline,2,0.528989,0.114406,0.154388,0.782576,0.644551,0.905432,synthetic_smoke_v0,0.184665
mintou_p2,multi_step_forecast,CNN-LSTM,baseline,3,0.524795,0.119266,0.154326,0.787118,0.622147,0.772170,synthetic_smoke_v0,0.180276
mintou_p2,multi_step_forecast,CNN-LSTM,baseline,4,0.504162,0.120983,0.161750,0.779611,0.642897,0.777006,synthetic_smoke_v0,0.189469
mintou_p2,multi_step_forecast,CNN-LSTM,baseline,5,0.525441,0.121141,0.155150,0.779501,0.640563,1.054674,synthetic_smoke_v0,0.185666
mintou_p2,multi_step_forecast,euclidean_gcn,ablation,1,0.426412,0.102451,0.132198,0.908098,0.527808,1.062255,synthetic_smoke_v0,0.165886
mintou_p2,multi_step_forecast,euclidean_gcn,ablation,2,0.427872,0.103891,0.141160,0.907147,0.527640,1.044364,synthetic_smoke_v0,0.163888
mintou_p2,multi_step_forecast,euclidean_gcn,ablation,3,0.430121,0.105213,0.136877,0.882509,0.565482,1.081315,synthetic_smoke_v0,0.164461
mintou_p2,multi_step_forecast,euclidean_gcn,ablation,4,0.418343,0.101748,0.141866,0.906795,0.542462,1.123174,synthetic_smoke_v0,0.152369
mintou_p2,multi_step_forecast,euclidean_gcn,ablation,5,0.434576,0.107170,0.145086,0.883124,0.543270,1.204231,synthetic_smoke_v0,0.158347
mintou_p2,multi_step_forecast,fixed_curvature,ablation,1,0.437743,0.106161,0.141650,0.882010,0.554912,1.021675,synthetic_smoke_v0,0.169444
mintou_p2,multi_step_forecast,fixed_curvature,ablation,2,0.446394,0.104828,0.143430,0.880839,0.549405,1.149373,synthetic_smoke_v0,0.167707
mintou_p2,multi_step_forecast,fixed_curvature,ablation,3,0.418189,0.103398,0.139423,0.898401,0.527158,0.907306,synthetic_smoke_v0,0.155099
mintou_p2,multi_step_forecast,fixed_curvature,ablation,4,0.454635,0.105023,0.139163,0.875201,0.558582,1.054665,synthetic_smoke_v0,0.171099
mintou_p2,multi_step_forecast,fixed_curvature,ablation,5,0.439718,0.106657,0.144843,0.869344,0.573549,1.234743,synthetic_smoke_v0,0.170158
mintou_p2,multi_step_forecast,temporal_only,ablation,1,0.466053,0.104780,0.149299,0.865191,0.557029,1.096976,synthetic_smoke_v0,0.162534
mintou_p2,multi_step_forecast,temporal_only,ablation,2,0.472610,0.106462,0.144962,0.856447,0.579807,0.954709,synthetic_smoke_v0,0.176092
mintou_p2,multi_step_forecast,temporal_only,ablation,3,0.463406,0.106335,0.148512,0.872964,0.563759,1.051905,synthetic_smoke_v0,0.158756
mintou_p2,multi_step_forecast,temporal_only,ablation,4,0.471648,0.110263,0.152630,0.848947,0.592482,0.979190,synthetic_smoke_v0,0.173567
mintou_p2,multi_step_forecast,temporal_only,ablation,5,0.463143,0.113600,0.142284,0.848745,0.567992,1.122153,synthetic_smoke_v0,0.164899
mintou_p2,multi_step_forecast,no_weather_features,ablation,1,0.461611,0.107153,0.149673,0.839701,0.572404,0.918528,synthetic_smoke_v0,0.174029
mintou_p2,multi_step_forecast,no_weather_features,ablation,2,0.462316,0.105331,0.143180,0.853403,0.586591,1.094440,synthetic_smoke_v0,0.172114
mintou_p2,multi_step_forecast,no_weather_features,ablation,3,0.490046,0.111416,0.151399,0.829956,0.588179,1.086712,synthetic_smoke_v0,0.167571
mintou_p2,multi_step_forecast,no_weather_features,ablation,4,0.481006,0.114920,0.149420,0.829965,0.593225,1.095213,synthetic_smoke_v0,0.180034
mintou_p2,multi_step_forecast,no_weather_features,ablation,5,0.478581,0.106627,0.149184,0.845385,0.573754,0.980596,synthetic_smoke_v0,0.173966
mintou_p2,multi_step_forecast,physical_edges_only,ablation,1,0.486740,0.114444,0.149305,0.830125,0.607401,1.029926,synthetic_smoke_v0,0.181680
mintou_p2,multi_step_forecast,physical_edges_only,ablation,2,0.468283,0.110118,0.149296,0.830575,0.592441,1.318323,synthetic_smoke_v0,0.179326
mintou_p2,multi_step_forecast,physical_edges_only,ablation,3,0.478920,0.112910,0.148676,0.815109,0.599015,1.125345,synthetic_smoke_v0,0.176091
mintou_p2,multi_step_forecast,physical_edges_only,ablation,4,0.482057,0.110049,0.151406,0.824218,0.606470,1.065020,synthetic_smoke_v0,0.175617
mintou_p2,multi_step_forecast,physical_edges_only,ablation,5,0.470896,0.113310,0.144937,0.835341,0.592941,1.074988,synthetic_smoke_v0,0.174202
mintou_p2,multi_step_forecast,poincare_only,ablation,1,0.492761,0.112748,0.155624,0.804715,0.602987,1.292822,synthetic_smoke_v0,0.183619
mintou_p2,multi_step_forecast,poincare_only,ablation,2,0.507543,0.113112,0.152708,0.809432,0.601085,0.975595,synthetic_smoke_v0,0.178853
mintou_p2,multi_step_forecast,poincare_only,ablation,3,0.487486,0.110165,0.149954,0.820371,0.586873,1.066655,synthetic_smoke_v0,0.173724
mintou_p2,multi_step_forecast,poincare_only,ablation,4,0.487813,0.113699,0.150755,0.816732,0.610548,1.311363,synthetic_smoke_v0,0.172731
mintou_p2,multi_step_forecast,poincare_only,ablation,5,0.508951,0.115950,0.158490,0.804408,0.603391,1.255051,synthetic_smoke_v0,0.185732
mintou_p2,multi_step_forecast,short_horizon_only,ablation,1,0.520286,0.121729,0.164953,0.773898,0.629475,1.177800,synthetic_smoke_v0,0.184183
mintou_p2,multi_step_forecast,short_horizon_only,ablation,2,0.508680,0.114837,0.150376,0.807280,0.606631,1.100132,synthetic_smoke_v0,0.172460
mintou_p2,multi_step_forecast,short_horizon_only,ablation,3,0.519733,0.119329,0.152305,0.793326,0.614409,1.066782,synthetic_smoke_v0,0.173561
mintou_p2,multi_step_forecast,short_horizon_only,ablation,4,0.510140,0.114074,0.159331,0.800948,0.603911,1.297206,synthetic_smoke_v0,0.176691
mintou_p2,multi_step_forecast,short_horizon_only,ablation,5,0.509013,0.120291,0.153775,0.793295,0.606918,1.439515,synthetic_smoke_v0,0.185713
mintou_p2,day_ahead_forecast,HyG-LoadFormer,proposed,1,0.417309,0.097173,0.132340,0.921034,0.528165,1.211062,synthetic_smoke_v0,0.162977
mintou_p2,day_ahead_forecast,HyG-LoadFormer,proposed,2,0.434844,0.106030,0.138762,0.897679,0.548043,1.367350,synthetic_smoke_v0,0.152655
mintou_p2,day_ahead_forecast,HyG-LoadFormer,proposed,3,0.420659,0.099030,0.131060,0.906067,0.545523,1.103341,synthetic_smoke_v0,0.158891
mintou_p2,day_ahead_forecast,HyG-LoadFormer,proposed,4,0.427413,0.102446,0.139011,0.896217,0.552811,1.201593,synthetic_smoke_v0,0.152903
mintou_p2,day_ahead_forecast,HyG-LoadFormer,proposed,5,0.438437,0.102798,0.134059,0.892409,0.554728,1.325204,synthetic_smoke_v0,0.156405
mintou_p2,day_ahead_forecast,ARIMA,baseline,1,0.633999,0.145118,0.193559,0.601512,0.762518,0.358901,synthetic_smoke_v0,0.222239
mintou_p2,day_ahead_forecast,ARIMA,baseline,2,0.680683,0.149281,0.202320,0.568261,0.799324,0.379834,synthetic_smoke_v0,0.220397
mintou_p2,day_ahead_forecast,ARIMA,baseline,3,0.646581,0.138412,0.193805,0.602858,0.755311,0.383134,synthetic_smoke_v0,0.215305
mintou_p2,day_ahead_forecast,ARIMA,baseline,4,0.675245,0.141662,0.199873,0.576609,0.784195,0.359226,synthetic_smoke_v0,0.220241
mintou_p2,day_ahead_forecast,ARIMA,baseline,5,0.670746,0.145694,0.198663,0.572871,0.786118,0.349283,synthetic_smoke_v0,0.227827
mintou_p2,day_ahead_forecast,XGBoost,baseline,1,0.571477,0.127948,0.174884,0.699758,0.704684,0.529725,synthetic_smoke_v0,0.202878
mintou_p2,day_ahead_forecast,XGBoost,baseline,2,0.589490,0.132120,0.174981,0.688431,0.688893,0.652192,synthetic_smoke_v0,0.194733
