question_id,slot_count,unique_normalized_sql,duplicate_slots,validation_only_top_slots,validation_only_unique_top_sql,validation_only_duplicate_top_slots,complete_witness_top_slots,complete_witness_unique_top_sql,complete_witness_duplicate_top_slots
Q128,8,5,3,8,5,3,8,5,3
Q129,8,5,3,8,5,3,8,5,3
Q130,8,5,3,7,4,3,7,4,3
Q131,8,5,3,8,5,3,8,5,3
Q132,8,5,3,8,5,3,8,5,3
Q133,8,5,3,8,5,3,8,5,3
Q134,8,5,3,8,5,3,8,5,3
Q135,8,5,3,8,5,3,8,5,3
Q136,8,4,4,7,3,4,7,3,4
Q137,8,2,6,8,2,6,8,2,6
Q138,8,4,4,7,3,4,7,3,4
Q139,8,7,1,8,7,1,8,7,1
Q140,8,8,0,7,7,0,7,7,0
Q141,8,8,0,8,8,0,8,8,0
Q142,8,7,1,7,6,1,7,6,1
Q143,8,1,7,8,1,7,8,1,7
Q144,8,1,7,8,1,7,8,1,7
Q145,8,1,7,8,1,7,8,1,7
Q146,8,1,7,8,1,7,8,1,7
Q147,8,1,7,8,1,7,8,1,7
Q148,8,2,6,8,2,6,8,2,6
Q149,8,2,6,8,2,6,8,2,6
Q150,8,3,5,8,3,5,8,3,5
Q151,8,3,5,8,3,5,8,3,5
Q152,8,1,7,8,1,7,8,1,7
Q153,8,1,7,8,1,7,8,1,7
Q154,8,2,6,8,2,6,8,2,6
Q155,8,8,0,1,1,0,1,1,0
Q156,8,8,0,1,1,0,1,1,0
Q157,8,8,0,1,1,0,1,1,0
Q158,8,7,1,2,2,0,2,2,0
Q159,8,8,0,1,1,0,1,1,0
Q160,8,7,1,1,1,0,1,1,0
Q161,8,7,1,1,1,0,1,1,0
Q162,8,8,0,2,2,0,2,2,0
Q163,8,7,1,8,7,1,8,7,1
Q164,8,7,1,8,7,1,8,7,1
Q165,8,7,1,8,7,1,8,7,1
Q166,8,7,1,8,7,1,8,7,1
Q167,8,7,1,8,7,1,8,7,1
Q168,8,7,1,8,7,1,8,7,1
Q169,8,7,1,8,7,1,8,7,1
Q170,8,6,2,1,1,0,1,1,0
Q171,8,6,2,1,1,0,1,1,0
Q172,8,7,1,1,1,0,1,1,0
Q173,8,6,2,1,1,0,1,1,0
Q174,8,6,2,1,1,0,1,1,0
Q175,8,6,2,1,1,0,1,1,0
Q176,8,6,2,1,1,0,1,1,0
Q177,8,6,2,1,1,0,1,1,0
Q178,8,6,2,1,1,0,1,1,0
Q179,8,2,6,8,2,6,8,2,6
Q180,8,2,6,8,2,6,8,2,6
Q181,8,3,5,8,3,5,8,3,5
Q182,8,2,6,8,2,6,8,2,6
Q183,8,2,6,8,2,6,8,2,6
Q184,8,3,5,8,3,5,8,3,5
Q185,8,2,6,8,2,6,8,2,6
Q186,8,2,6,8,2,6,8,2,6
Q187,8,3,5,8,3,5,8,3,5
Q188,8,2,6,8,2,6,8,2,6
Q189,8,2,6,8,2,6,8,2,6
Q190,8,3,5,8,3,5,8,3,5
Q191,8,2,6,8,2,6,8,2,6
Q192,8,2,6,8,2,6,8,2,6
Q193,8,3,5,8,3,5,8,3,5
Q194,8,5,3,6,4,2,6,4,2
Q195,8,6,2,6,5,1,6,5,1
Q196,8,7,1,5,4,1,5,4,1
Q197,8,4,4,6,3,3,6,3,3
Q198,8,6,2,5,4,1,5,4,1
Q199,8,6,2,5,4,1,5,4,1
Q200,8,6,2,6,4,2,6,4,2
