"Path","SHA256","Bytes"
"latex_source\Definitions\mdpi_apacite.sty","9E9BB23DED45F7F76236AD304D4BDA2C066FB48041B272CEBC20F940C17865A7","71315"
"latex_source\Definitions\mdpi_chicago.bst","4A73FAF6E0CF1A225D1B9A41A6955D3CC29A55C5FDCE662177D00EEE3946CE36","37920"
"latex_source\figures\frameworks\ma_f01_pipeline.pdf","1E94A9DD87C1F9681E9FB10293898D363814A9BD8414B1C597E6B5F0B2EE338B","117855"
"latex_source\figures\frameworks\ma_f02_factorial_external_flow.pdf","3142FDDEB2F6816C83799D4CA808652FD9BB203F5868C970E3C98D92220805E4","89274"
"latex_source\figures\frameworks\ma_f03_human_review_sealed_gate.pdf","E5E6D9FF79B425BEEE0F6B22943725C0CDEAE2E9DFD74E94E1E9600E5B915C23","119847"
"latex_source\figures\frameworks\ma_r1_f01_executed_pipeline.pdf","608C1FE44C8D59B3581B96040CBD49B7DBD7408F648C0E3FEF76E51D185526E9","53942"
"latex_source\figures\frameworks\ma_r1_f02_factorial_design.pdf","C3B2264126967E0CD39A36006517838382B41B73A7BF7CF7490F2A15B31ABCD0","39319"
"latex_source\figures\frameworks\ma_r1_f03_external_evidence_gate.pdf","8D33EC0112143BF4722B77B7965DEABE083EC3D4D3CFE89C15C377DCDE02B3F7","64158"
"latex_source\figures\results\fig01_dual_cell_accuracy.pdf","9C26C40F85FFE7D9D3E13BEE4252E2B3D0EDD3B73318FFFB7B61B88B4E186F33","49750"
"latex_source\figures\results\fig01_v2_cells.pdf","1BDBB4F83C56C12E1184501355355E33BB65CBC409061B40C06F3592A636CEC4","74027"
"latex_source\figures\results\fig02_backbone_factorial_effects.pdf","11D6F740AC4C275446A8BA89B52F4549B5FF54C15570DA0166891BC2F9C695C4","65992"
"latex_source\figures\results\fig02_v2_factorial_effects.pdf","AA8BB1DD145510B4F552AAD7485477C419C1E30FA860E3897524A8BB82EB9077","18871"
"latex_source\figures\results\fig03_backbone_effect_modifiers.pdf","21B4FA47274B9FACE78537F4153343EEDC8D6C6E0138FB3D71BD631927D529E2","57050"
"latex_source\figures\results\fig03_context_audit.pdf","1944DB6E1A9C183B196FC8DA40BCBB10C9C55FC98A82CCAE92DB4A2FFBED481B","51435"
"latex_source\figures\results\fig04_semantic_reliability.pdf","318108E69345F12E99D57CC9728883CDB2F2BCABC8E5D47AABEE87E8BA0183E7","22784"
"latex_source\figures\results\fig04_semantic_reliability.png","002584CE9544362B890D7591BAC156767CE6311AC251D43487E63DB376D91DCA","131831"
"latex_source\figures\results\fig04_semantic_reliability.svg","4FEF678B7BE637ABBDC3C2B821A467291F03760239E75EBCD30093EDC874DB5F","72114"
"latex_source\figures\results\fig04_shape_effect_replication.pdf","6854EA64DD73E52D239FD12449A9D918B98ED2AC1E32115C2DD650FEF01FADBC","57460"
"latex_source\figures\results\fig05_cross_backbone_cells.pdf","068C9818C2834F0C74CD080F3EFD87C993EBE7CC7E5834C52F0E2293846FED89","58038"
"latex_source\figures\results\figure_01_primary_effects.pdf","417EC304F12B48E4EBD2B6A258EDA6507054D057F487D6A55E7C65E5A028A3D1","15484"
"latex_source\figures\results\figure_02_selection_descriptives.pdf","DEE8E8DB1351CFBE5E068C07116A553DA2D991CD441455A95D95EEFD94399E57","15905"
"latex_source\scripts\verify_manuscript.py","AAF5137D0EDFAED67FC5CC1B427325E3DB3C3257562E932D347E8F8C997AC419","12200"
"latex_source\tables\table01_dual_cell_accuracy.tex","61887F6C8002968CE8CB693F4C7A762A3750DE581E680DDB6CE490B4BF808653","695"
"latex_source\tables\table02_backbone_factorial_effects.tex","3A44AA77F98B641F41CEC33A5B1FCD35C326A8520B9EFF71D910078C10E757B5","1097"
"latex_source\tables\table03_backbone_effect_modifiers.tex","E7698DDAC72697972FF772537FF5CC070B3F9765D7EF2BFA6801C186ED77CCFA","762"
"latex_source\tables\table04_shape_effect_replication.tex","698F5CB8FFE50F46A35CA928002DBF0C7F49F49A0189CB243327D23ABBC9250C","547"
"latex_source\tables\table05_cross_backbone_cells.tex","BF797B9D60FDA807D1D59D17EA46A61717E34FDC9C1868111344D22884208A6A","877"
"latex_source\tables\table_bird_public_baselines.tex","2F69AD609F59A26212DFC4B658F62AC272AFFEF85DDD7774ACE66996568F1A43","798"
"latex_source\tables\table_cell_summary_v2.tex","088B3F04705FF96A02C9018B383B8DDDF038DDE8284FDCEEDE6CD3818E531ADF","729"
"latex_source\tables\table_core_inference_v3.tex","95178E46F0EA627C74A916C10D229B9ECC57F5515EA8598A91F32526945C85E4","1555"
"latex_source\tables\table_factorial_effects_v2.tex","09624BF63B1D10C86F8734A24CC7F547795B10BB8832A6E3C4573603FDAFFE65","962"
"latex_source\tables\table_primary_effects.tex","7E454CE7E4FE1FD6E5702AA511B0863CFDF295C2C34D000188AC9D5CFAD9A5DE","529"
"latex_source\tables\table_selection_descriptives.tex","CE7F6A53A89913E18989C12771891525847449D01BE2C545DC926A34A6F9BE4B","384"
"latex_source\tables\table_semantic_cell_robustness.tex","7DFBAC91E855D3970BFA45491E274E43A994092AE82E9D70B0737C72295FFAAC","633"
"latex_source\tables\table_semantic_effects.tex","51BABDD41B47C1A5712D2C2134B7BCCCB7A86060C86208C331826222FEDE48F1","911"
"peer_review\FINAL_THREE_ROUND_REVIEW_AUDIT.md","09B9D3CB1694C02F10DCF54CE5D674EFCAE64E66FEB6BBBBDC42E36B87F9679B","2732"
"peer_review\ROUND3_FINAL_EDITORIAL_DECISION_AND_RESPONSE.md","D05DC25ACF51A93830C592A234E72FF43050C01D5FFE655DFFA9F809DA7FFFB3","3979"
"verification_data\REVIEW_PACKAGE_SHA256SUMS.csv","571C4E65CD3DE7533C82626C401622A0DE1EC72C4550BAD45CF94928A879A2D0","18447"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_granite_clean1\call_ledger.jsonl","5E82772F08058B09AF3219BCF1D76D4578E3DBE858C39361DE3FD2EAA2902C3D","2464846"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_granite_clean1\final_scores.jsonl","A88CB2B64D7498A823358E43244D585E6CE329D126FB3C21FDF74ABDCEDE05D6","786616"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_granite_clean1\RUN_MANIFEST.json","C210949CF1CB44B0564491AE1D9E0EA7E098B6441BAA52686D2AD57E3D1028DB","538"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_postrun_audit\cluster_contrasts_holm.csv","290A2556056DBD2C36170C6E3F24D2A5AD8DDAB8B9B502FD46F87F71256B789F","758"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_postrun_audit\method_summary.csv","683385B60E0EC6CD76B6EC145AEE2D5B304AB0ED07FB85B35D7AA63C907F35E8","628"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_postrun_audit\POST_RUN_INDEPENDENT_AUDIT_v1_1.json","62667A5510DD8AF88B9E12F890A8FE0B270A060C938BB3C104A1AB2FC3360727","5585"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_qwen_clean1\call_ledger.jsonl","82206A1D7DE7A5E54C5A7FA9C53D4DC9D89261E3F4269EF8FF9D6A07E2F0809E","2897879"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_qwen_clean1\final_scores.jsonl","1266FBCA68D4E657E7220388F60E44C659BD6E7F192AD70F5CED63DB65B0A797","809815"
"verification_data\evidence\bird_v1_1\MA_PUBLIC_BIRD_v1_1_qwen_clean1\RUN_MANIFEST.json","9DF9628C07AA3EC346A0B07907548C822391065F779AC88F3714B7583B78C8B7","535"
"verification_data\evidence\canonical_v2_reanalysis\build_v2_reanalysis.py","720CCEC6B3DE6C47D08C5538321E8D8908A36A8941D1F36D05E908F9786DD915","33708"
"verification_data\evidence\canonical_v2_reanalysis\canonical_rows_v2.jsonl","A290770448219ECB81B01DB61E3A789C4101F5CC38BF342BD34E2931FC7E10F9","722882"
"verification_data\evidence\canonical_v2_reanalysis\FREEZE_AND_METHOD.json","00AC087FF70AC08058CB940AE8340DCC88718A2F6D5F1CF6ED48E4C8B58A0EB5","3381"
"verification_data\evidence\canonical_v2_reanalysis\release_manifest.json","AEFC83F9E30213E5BEEEB702AF41888B67F845F106CECB54C26D378BFF31698D","4170"
"verification_data\evidence\canonical_v2_reanalysis\V2_REANALYSIS.json","C8759EB3AF3A296BB88E9561F442A679A20A77CA476C43CFF6D76522EA6D0C55","33712"
"verification_data\evidence\canonical_v2_reanalysis\V2_REANALYSIS_REPORT.md","73D596A7F732929ADED08C8FDF84A98DB1F80CEDF407BAB3F8F60F318F781B7D","2075"
"verification_data\evidence\canonical_v2_reanalysis\VISUAL_QA.json","D276FE38E2BF6B9F27EDE6CE749F7E298633B1C4157E06E44E5AAF467824A66A","612"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig01_v2_cells.pdf","772816EE059BB07A8515889EE92AC05A37737C1A0534BBC89A327C806C77C6F9","14339"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig01_v2_cells.png","E822D63DE34E05D7FF88A27963BF4EABEA8604073DD044222BF811E09818A432","117965"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig01_v2_cells.svg","D9BC6DC9AE8172A168628875353F716A19F4E1DFD83462609F3C4C57FE404DAD","37522"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig02_v2_factorial_effects.pdf","AA8BB1DD145510B4F552AAD7485477C419C1E30FA860E3897524A8BB82EB9077","18871"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig02_v2_factorial_effects.png","6575EE705D321AC37388426324F5C2E5DA42168C3FE889CCBAFF13B87369DED3","162577"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig02_v2_factorial_effects.svg","6C98C93565BC6208C2CCC9B1E3ECF853951385E124D39E957D20C98F30A53D36","51402"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig03_context_audit.pdf","72E9A7614649DCFB948BD5BEF3588A86791207C582915E49B24194556C556AF6","17290"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig03_context_audit.png","D070141FEB9314F1A9FDEA7B87DFCC316126236B108F695B390B659DE551374E","165614"
"verification_data\evidence\canonical_v2_reanalysis\figures\fig03_context_audit.svg","33C95E8F869846447446B6DA64AFA1FB3DAB21F8C1C9B93A1CCF8C4A4FD53107","46524"
"verification_data\evidence\canonical_v2_reanalysis\tables\cell_summary_v2.csv","6D8FB1F5E6C06950DA8F348DB3A2F718413F71A9ABBE3943B40FB364E22FD3AB","1765"
"verification_data\evidence\canonical_v2_reanalysis\tables\cluster_randomization_holm_v2.csv","687B0786FAD8DDDC74E17820A7B30BAB6808A57137AB66DC8ACB2E6465124251","6053"
"verification_data\evidence\canonical_v2_reanalysis\tables\context_question_gold_offline_audit.csv","02AE079C2FA38898243E7DFF09E94C05ACC5F1BCF2899BACBB7B995CBDD039AE","8291"
"verification_data\evidence\canonical_v2_reanalysis\tables\cross_backbone_modifiers_v2.csv","76F897407DA0AA719F1F5DF3E1A0990BEADA92A3DC0B244BB7C104F57E239ECE","1014"
"verification_data\evidence\canonical_v2_reanalysis\tables\old_vs_new_shape.csv","5F310699FDF59B2C15389628B357BC64AD151EB75A97E9EA26D8B648F252952C","693"
"verification_data\evidence\canonical_v2_reanalysis\tables\prompt_context_summary.csv","360E998F681DB42FB8B3D3815A4B60D416D3C91EF4C24631F5C791802224D6C2","2708"
"verification_data\evidence\canonical_v2_reanalysis\tables\prompt_field_invariance.csv","F76CD3399211EC29E7389E60E1790D96D061A093B7B3C6B9E0F7C9E32D016409","1383"
"verification_data\evidence\canonical_v2_reanalysis\tables\table_cell_summary_v2.tex","41150F8B11B1637BA69C87855D7E9AF6F65B0DF097EAF5FA96197C9184557D5A","844"
"verification_data\evidence\canonical_v2_reanalysis\tables\table_factorial_effects_v2.tex","0E158FCEF663F73A38E8636B0CBC3CE96476CCE580114879C643C2922B1CDD9B","1041"
"verification_data\evidence\canonical_v2_reanalysis\tables\within_backbone_factorial_v2.csv","D1FE0F51FD371566840D09E9A215AE7968AD6876CD8F6A06EBD9AC2F194994CD","1356"
"verification_data\evidence\canonical_v2_reanalysis\tests\test_v2_release.py","7B469057C9F2C7491F5B91B241BEBDD03296BFD1EFFF3EC82913A78FF4136452","6140"
"verification_data\evidence\canonical_v2_reanalysis\tests\__pycache__\test_v2_release.cpython-312.pyc","C2551813091C9ED3D04E325FB240B9F8CEA941A8D5EBDA30A28A35E69C1A5B64","13840"
"verification_data\evidence\canonical_v2_reanalysis\__pycache__\build_v2_reanalysis.cpython-312.pyc","DADA169208E5AC440283BBF4729C9FCFC2B1B07E086C730204B802894D834E63","51019"
"verification_data\evidence\canonical_v3_inference_hierarchy\build_v3_inference.py","C89FA9DF7E0F18E662BD926489CEB858B4F3503D5E0D46928D559402E22593AC","14813"
"verification_data\evidence\canonical_v3_inference_hierarchy\EXPECTED_INPUT_HASHES.json","0EC782CF9404F22BD3B06C29E0B718005E9BA36594DF3E9AD968C4D5ED80A594","3598"
"verification_data\evidence\canonical_v3_inference_hierarchy\MANUAL_VISUAL_QA.json","54682E7014F9BA9771413CF3366C2B58CECA8B682762D924863BCDECF75FD401","1199"
"verification_data\evidence\canonical_v3_inference_hierarchy\README.md","13EA4FEDC6B5A139D18F2D4B92350E0B2DCC22F82F3539F4BB38BB70D9552427","1552"
"verification_data\evidence\canonical_v3_inference_hierarchy\release_manifest.json","7174A5DE89CFF44E566C531BA4433ECD55749D0730AEF64CE3104BC7991FBD48","2665"
"verification_data\evidence\canonical_v3_inference_hierarchy\RUNTIME_LOCK.json","760E3B414D2F2565D428EDC3BCDBFBB3852F7B9EC3A7B9FB5DC145B72C7ACC13","551"
"verification_data\evidence\canonical_v3_inference_hierarchy\STATISTICAL_REFERENCE_SUGGESTIONS.md","217A16D2CCC6782958FABD09D5AB604F96ED41BFCB889E0FF30A6B70E452E2B9","2256"
"verification_data\evidence\canonical_v3_inference_hierarchy\V3_INFERENCE_HIERARCHY.json","EE6FD5269BC06DA00CA39D9EE167C9EFC3724B1C53E387FEEAA612B63EDBAC55","36241"
"verification_data\evidence\canonical_v3_inference_hierarchy\V3_INFERENCE_REPORT.md","6905C7356F69F69546A40E75DD6ADE5D841E0E91F9A1B1E7DA368FC6A0BF37B3","2382"
"verification_data\evidence\canonical_v3_inference_hierarchy\verify_inputs.py","35D4A492C8C191C75ECB5B9ACAB0822A10C76FD7C2C35E2D3BDF463E6E214BE6","1373"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\composition_sensitivity.csv","F4571E8CFFB83AE6507F88C4CC51EB1D7F6D9ACD3732687918884459CE0ADE7C","7573"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\core_inference_hierarchy.csv","104F37B8A6417138C01BF219C981687EAA34D58C184E9861640F7B6ED5BC9183","4682"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\dependence_group_profile.csv","7249136E24DFFBA39F044C4C827CEE1CD88CCEC1E922D3234F78B0F50A5EEBA2","278"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\frozen_target_distribution.csv","DD11926045617BF5843F03A7180B5A9ED550F25AEDE3669AE199555DE10EA9FE","383"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\table_composition_sensitivity.tex","38F8411B7873EC73C647A4168EE53DF9F379050A4C747E0436F7C8EA689FEE4E","3885"
"verification_data\evidence\canonical_v3_inference_hierarchy\tables\table_core_inference.tex","28958918817017C727729A8EEBA0B66903CB63350CD48457BFD143407C961C8B","1685"
"verification_data\evidence\canonical_v3_inference_hierarchy\tests\test_v3_release.py","2D3F90B85D0C6504F5DF59261379FD97FE4E7E153B120ADD0E6F65D4C2234A85","4021"
"verification_data\evidence\canonical_v3_inference_hierarchy\tests\__pycache__\test_v3_release.cpython-312.pyc","3AD44AB45957F893FF4BB061D04020A965C6CA6C0886D9730E4310E48C44B179","10683"
"verification_data\evidence\component_canonical_release\build_release.py","200357CA2AF0C784BF67910CED0F19F0C07D83BD32AD70ED91F397B0BACBC03D","28449"
"verification_data\evidence\component_canonical_release\CANONICAL_RESULTS.json","69BD0DE26223DC331D26748C572D9F02D552462745758F698A948E663EEEE28B","6554"
"verification_data\evidence\component_canonical_release\figure_01_primary_effects.pdf","417EC304F12B48E4EBD2B6A258EDA6507054D057F487D6A55E7C65E5A028A3D1","15484"
"verification_data\evidence\component_canonical_release\figure_01_primary_effects.png","8F1A5F470F0851C48CBF42F1C0550531B1481526051CD4899EE4A53BC50ED828","101253"
"verification_data\evidence\component_canonical_release\figure_01_primary_effects.svg","840233A2EA8182112C27DADA140903B3BB5E756F4EB5738AC6029FD85CC5B8FD","39163"
"verification_data\evidence\component_canonical_release\figure_02_selection_descriptives.pdf","DEE8E8DB1351CFBE5E068C07116A553DA2D991CD441455A95D95EEFD94399E57","15905"
"verification_data\evidence\component_canonical_release\figure_02_selection_descriptives.png","8BCD4F77B3BCD07E75AA7367A776AD4C8770FFA3C831A6F32FD834D246A878B2","120040"
"verification_data\evidence\component_canonical_release\figure_02_selection_descriptives.svg","61BF62212C61494F00E0EC867D906F818ACE8C877AA491D41E6970A988136111","39966"
"verification_data\evidence\component_canonical_release\figure_03_efficiency_diagnostics.pdf","FEA88A4DED3AAC51556E309BCFD817D042D79EFBCCBD97DA2963AF07D2039BEE","16503"
"verification_data\evidence\component_canonical_release\figure_03_efficiency_diagnostics.png","C162AEEEECAE108D379765CCEC30A474EA00566CF9A00CE80EAACE9F80BB3647","136213"
"verification_data\evidence\component_canonical_release\figure_03_efficiency_diagnostics.svg","3AB3CBB2BEDD4444C54B783279541AD70D1E1169EB0ABA35362A3D1B94712805","47286"
"verification_data\evidence\component_canonical_release\INDEPENDENT_AUDIT.json","4F6B78FA41CA11E17CEEE88AF25F7FDC7802A8F936390FEB90CF73D52C3AA72B","5397"
"verification_data\evidence\component_canonical_release\INDEPENDENT_AUDIT.md","93CC596B0A426179A897DBDA96C693F123FBE747E458D541E69CC8326C339282","2546"
"verification_data\evidence\component_canonical_release\release_manifest.json","EBA43DA968297024CD9FCA46728CB9525B39EC7AFC67C6E1B1C1C43E256D60F1","3373"
"verification_data\evidence\component_canonical_release\table_efficiency_diagnostic.csv","47197E2D43FBBB0211D5A740DED8AD1B7D87CED124C17B6BBE6D1E10B391FED0","580"
"verification_data\evidence\component_canonical_release\table_efficiency_diagnostic.tex","6BAE2C26A6970E168E42261D8CFCAEBE3A64FCBEBDA0F192CAD6BE82A74668DA","306"
"verification_data\evidence\component_canonical_release\table_primary_effects.csv","4A3ED23CDB4366FECDBA59ED90F9C48E0AE68A4C98D70D3689B217070E33C5BF","1267"
"verification_data\evidence\component_canonical_release\table_primary_effects.tex","18CA8214267396D28CEB612756AF8E51C6EEEA720FB6B14263A39B28F065DDC6","512"
"verification_data\evidence\component_canonical_release\table_selection_descriptives.csv","14FC7571247AF46B4F4C353B3B59C1A06C7C1816886ED00175F952BD21B161D9","349"
"verification_data\evidence\component_canonical_release\table_selection_descriptives.tex","CE7F6A53A89913E18989C12771891525847449D01BE2C545DC926A34A6F9BE4B","384"
"verification_data\evidence\component_canonical_release\tests\test_release.py","FEE79D18D9D157F07F3DCB27DD4CE31B928D70964C79BADCC7E8546678983E10","3244"
"verification_data\evidence\component_canonical_release\tests\__pycache__\test_release.cpython-312.pyc","5B45ADCE176C8584477B8911125B474EBBECDAC97E8211F84E76BFC24D9485E2","7341"
"verification_data\evidence\prospective_component_experiments\analysis\ANALYSIS_MANIFEST.json","656DCFC6663A06418645F17D28E0257CFF29A467196445FB6DA55D49C2778CEA","654"
"verification_data\evidence\prospective_component_experiments\analysis\ANALYSIS_REPORT.md","EF73B63A38DC41886E2C764BCB6940B10B8A14234FED8B8752196853DAD790AA","759"
"verification_data\evidence\prospective_component_experiments\analysis\efficiency.csv","4DB36E11E4D97F99A622F740C8F8519CEC9AC55E0321CEFF3E1E9407896E6B19","302"
"verification_data\evidence\prospective_component_experiments\analysis\primary_effects.csv","28C1AA29C256CD4D93438D4586F8FF9BE6E8901EC86A4C204A0F7C7D959A8E96","1145"
"verification_data\evidence\prospective_component_experiments\analysis\RESULTS.json","8FCF0A10A9513FBCE9D4FB7305160BFBBC1BC39092A6CAC41F51EE13DE38D444","11752"
"verification_data\evidence\semantic_reliability_experiment\POST_SCORE_INDEPENDENT_AUDIT_A.json","E1A322B9A05B482D5F906BE64305CA2CED8FEE1062656EA1DB987509677D9302","9864"
"verification_data\evidence\semantic_reliability_experiment\POST_SCORE_INDEPENDENT_AUDIT_B.json","A083E2E5D904FE270D852FB1D15FB0250755370EFB668978D9D4A063DDF205B5","4954"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\ANALYSIS_SUMMARY.json","9F060883528DA90E79A4E152373B0207DF80FFE9B5F6E3E6E2C3F6C7B0414DAB","1221"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\clustered_contrasts.csv","14C2C3671FB7C31EBE249FB9CDB85D504BB5EFFEA2A166AF8C343AB0DFE9F15B","1357"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\clustered_contrasts.tex","0DB94269CE7AC099B19DB98665A8416619703A2F5EDCF1742AF58F0BCAB65E81","656"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\MANUSCRIPT_FIGURE_LINEAGE.json","E7F6650F5DB53AB4DA84C22112300208A816E6538B0D60509378F97BC82246A9","2910"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\semantic_suite_effects.svg","79EC39A8D673CA12B12C52CB67D9BC6587C060D26CF8C32CA4DFF8CDDA0D3564","1310"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\suite_outcomes.csv","322BB787184F9798BD8821EC54DC31F6573CA62FB364A703E275BA1020E1DABE","99055"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_analysis\suite_outcomes.jsonl","65D37B0801B780EA07B767BFCC46A5C9B7278046A4362EBB0562A69FAE5DF07B","508555"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_release\PORTABLE_VERIFY_CLEAN_COPY.json","0F068E186404C718CDF9ED095ADC071F2C7C136FC951A84B3B9EAEEF13395F98","646"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_release\PORTABLE_VERIFY_LOCAL.json","947EDA1A3D454E7E7085F023FF87C25801614112A35786EE361001387B65BD16","608"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_release\release_manifest.json","6EAC92A3743B39DCEBA2B59737D1546397E1E716274B3BC789C60CB13CD2A5DF","3942"
"verification_data\evidence\semantic_reliability_experiment\formal_v5_release\release_manifest_portable.json","903F9F7BD3325003840E14A94556D9107A266A5AE9C3D3CDFF623F92C4E7FFA0","5543"
"verification_data\machine_silver\MA_SEALED_SET_PROTOCOL_v1.json","FC422FEF02B278D60B6E3850604EAB2E02F0683F7AF02115B6153FB36DC32A4E","2197"
"verification_data\machine_silver\MA_SQLGRID_ANNOTATION_PROTOCOL_v1.1.json","926A08269217EF8337A8819FFD38DB2433EBE6065BE208240D1E40C938C7B75C","3413"
"verification_data\machine_silver\STAGE2_REPORT.md","08C0A30568AD08E293241F04B9856C2C21BEEFDD62E5DB92FD6634219241CD7C","10215"
"verification_data\machine_silver\STAGE3_REPORT.md","83D58F531E5739E371148A87F3D48201F03D4C88A306D9D89FED7E1425D6113C","14545"
"verification_data\machine_silver\ma_stage2\adjudicated.jsonl","B2B4FC8E07CED0EB426E08E389B653259593471FE8E65A639D9D5107A48888F5","15779"
"verification_data\machine_silver\ma_stage2\candidate_fixes_v2.jsonl","70275BE9A05D1CEA029FBE2DF1B10F100E88D3CC839BF0ECD6707B40621CE1E9","2568"
"verification_data\machine_silver\ma_stage2\column_check_report.json","1421F7245EB08EC1939C76EEF4E8FC1643D4BB9E4A1A31139E7F32BF467A177A","55341"
"verification_data\machine_silver\ma_stage2\execution_facts.jsonl","CF643841DE4F96536B1E7851BA6EE97FF576A0FB3B4F79F82D0724D826135216","33253"
"verification_data\machine_silver\ma_stage2\final_labels.jsonl","E82E9FB1F46E70514713ECB81EF8017F3AA4D6703857DEDD8C0C98C364938CC4","92718"
"verification_data\machine_silver\ma_stage2\fix_reannotation.execution_facts.jsonl","F31368343CAF3D040EAC4B20DCCA030A5E9C1ED8A202AA08EA156C1ED97F55B5","827"
"verification_data\machine_silver\ma_stage2\fix_reannotation.jsonl","A73BBE129077150365A1B6F7871673BE46F18465EF238585E63525BD7CD9BCE6","9972"
"verification_data\machine_silver\ma_stage2\fix_reannotation.raw_ledger.jsonl","5D914C4FE23E15D45DA5EEBB13EBFECE151DCA4D58EB342C0B10BC03ABC512F4","9966"
"verification_data\machine_silver\ma_stage2\labels_A.jsonl","D2624EA3D7A34FFFA0CE15321B590B49A4AA0FF01A5356B86AFD2A535E69982B","108255"
