paper,section,subsection,paragraph,words,citations,crossrefs,numeric_tokens,role,mechanical_flag,opening
C2,Materials and Methods,"Task, Scope, and Evidence Class",3,49,0,0,1,boundary/limitation,ok,"This is a post-audit corrective evaluation. Earlier versions of the test population were inspected while diagnosing R1, so the v0.3.1 freeze cannot recover outcome-unseen confirmatory status. The formal output is therefo"
C2,Materials and Methods,"Task, Scope, and Evidence Class",4,82,0,1,0,boundary/limitation,ok,"The three research questions map to different evidence and must not be collapsed. RQ1 is addressed by the seven-condition comparison on the frozen test split, but its interpretation is qualified by unequal output lengths"
C2,Materials and Methods,"Task, Scope, and Evidence Class",5,63,0,0,3,exposition/transition,ok,"The unit of analysis is the report, not the sentence. Sentences within a report share topic, vocabulary, layout, and reference-summary content and are therefore not treated as independent observations. Candidate-level qu"
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",6,57,0,1,17,exposition/transition,ok,The manifest binds 40 complete local PDFs with distinct SHA-256 values and 3200 declared pages. A deterministic full-PDF builder retained 27 reports and excluded 13 before outcome computation. The retained data comprise 
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",7,94,0,0,4,exposition/transition,ok,"Supplementary Table S1 is the rights-safe sampling frame for all 40 reports. For every source it records a non-verbatim report identifier, genre, declared pages, reference word count where a valid reference was detected,"
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",8,83,0,0,0,result/interpretation,support-check,"Inclusion required a complete readable PDF, a detectable summary reference, a non-empty post-summary candidate region, and passage of the registered extraction-quality gates. Exclusion was decided before outcome computat"
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",9,82,0,0,2,exposition/transition,ok,Development and test assignment was performed at report level so that sentences from one source could not cross partitions. The 12 development reports supported configuration selection; the 15 test reports were used once
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",10,82,0,0,7,boundary/limitation,ok,"Candidates begin after a conservatively detected Executive Summary boundary, and no fixed sentence cap is applied. The builder emits 12,924 candidates, with 51--1898 per report; 25 reports have more than 80. An independe"
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",11,83,0,0,0,boundary/limitation,ok,The four leakage checks cover complementary failure paths. Page-interval separation detects gross boundary failure. Normalized exact matching detects a reference sentence copied into the candidate region despite page sep
C2,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",12,66,0,0,0,exposition/transition,ok,"Rights handling is orthogonal to leakage. A document can be scientifically eligible but unsuitable for redistribution. The local restricted compartment therefore holds the source-derived candidate and prediction text, wh"
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,13,50,0,0,2,exposition/transition,ok,"Each candidate receives lexical evidence for root cause, trigger event, propagation or response, impact, and mitigation. Positive top-score ties abstain rather than using fixed role order; 111 development ties all receiv"
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,14,90,0,0,0,method/protocol,ok,"For each role, the implementation counts registered cue classes in the candidate and then normalizes evidence within the report. Report-level normalization prevents a cue-rich long report from mechanically assigning larg"
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,15,44,0,1,0,exposition/transition,ok,"Table gives the executable taxonomy. The cues are substring-based lexical indicators, normalized within a report. A unique positive maximum assigns a dominant role; an all-zero vector or equal positive maximum yields abs"
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,16,41,0,1,1,boundary/limitation,ok,"A directed edge is allowed only for registered stage-monotone role transitions within 12 sentence positions. Its weight combines positional distance, token-set Jaccard overlap, and role confidence. Normalized weighted de"
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,17,88,0,1,1,exposition/transition,ok,"The edge gate has three parts. First, the source order must move forward, because the proxy represents a narrative progression rather than an arbitrary similarity network. Second, the source and target roles must appear "
C2,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,18,89,0,0,1,boundary/limitation,ok,"These choices make the graph sparse and document specific. Sparse construction limits path enumeration and improves inspectability, while document-specific normalization avoids comparing raw node degrees across reports o"
C2,Materials and Methods,Typed Path-Deletion Structural Perturbation,19,30,0,0,0,exposition/transition,short,"Let be the set of simple, stage-monotone paths with two to four edges beginning at a root-cause or trigger node and ending at an impact or mitigation node. For path ,"
C2,Materials and Methods,Typed Path-Deletion Structural Perturbation,20,8,0,0,0,exposition/transition,short,The graph utility and raw deletion score are
C2,Materials and Methods,Typed Path-Deletion Structural Perturbation,21,56,0,0,0,result/interpretation,support-check,"Unlike weighted degree, depends on qualified multi-edge path membership, role order, and the geometric mean of edge weights. A registered counterexample gives two nodes equal weighted degree but unequal qualified-path me"
C2,Materials and Methods,Typed Path-Deletion Structural Perturbation,22,99,0,1,8,exposition/transition,ok,"Table provides a synthetic walk-through that is independent of the experimental corpus. Consider five source-ordered nodes with roles root cause, trigger, propagation, impact, and mitigation and four compatible edge weig"
C2,Materials and Methods,Typed Path-Deletion Structural Perturbation,23,60,0,0,0,method/protocol,ok,The equality follows because node deletion removes exactly the qualified paths containing and leaves the remaining path strengths unchanged. The implementation nevertheless recomputes or cache-checks the deleted graph ra
C2,Materials and Methods,Scoring and Selection,24,46,0,0,6,exposition/transition,ok,"where is lexical centroid relevance, role evidence, weighted-degree salience, normalized path-deletion loss, and a positional prior. Greedy selection subtracts times the maximum token-set Jaccard overlap with an already "
C2,Materials and Methods,Scoring and Selection,25,40,0,0,1,exposition/transition,ok,"The strict no-CF ablation changes only the coefficient of from 0.15 to zero. It does not renormalize any remaining coefficient or alter candidates, graph construction, redundancy penalty, tie rules, or budgets. This sing"
C2,Materials and Methods,Scoring and Selection,26,74,0,0,0,exposition/transition,ok,"Each score channel has a distinct interpretation. rewards similarity to the report centroid and can favor generic report language. rewards registered cause, event, impact, and mitigation cues but is vulnerable to cue amb"
C2,Materials and Methods,Scoring and Selection,27,78,0,0,0,exposition/transition,ok,"The redundancy term is applied only after base scores are fixed. It penalizes the greatest token-set overlap with the already selected set, so a sentence can be highly salient yet deferred when it repeats an earlier choi"
C2,Materials and Methods,Scoring and Selection,28,87,0,0,5,exposition/transition,ok,Selection proceeds deterministically in five steps: (1) construct report-level candidates and normalized feature channels; (2) build the typed graph and enumerate qualified paths within the registered caps; (3) compute t
C2,Materials and Methods,Scoring and Selection,29,83,0,0,8,boundary/limitation,ok,"The dominant computational cost arises from candidate-pair edge checks and bounded path enumeration. With candidates and a fixed 12-position horizon, at most forward neighborhoods require transition and similarity checks"
C2,Materials and Methods,Scoring and Selection,30,124,0,0,2,exposition/transition,ok,"The output is designed for source navigation rather than stand-alone decision support. The frozen prediction record preserves report ID and sentence ID; a deterministic, non-verbatim locator ledger joins those identifier"
C2,Materials and Methods,Known Linguistic Failure Modes,31,133,0,0,2,exposition/transition,ok,"No qualified experts supplied role or relation gold labels. Accordingly, Table 1 is a summary of executable behavior rather than validated semantic annotation; the exact lexicon, normalization, transitions, and tests are"
C2,Materials and Methods,Known Linguistic Failure Modes,32,87,0,0,0,boundary/limitation,ok,"The taxonomy separates errors at four layers. A segmentation error produces an extraction unit that fuses prose with a table, heading, or footnote. A role error assigns the wrong dominant role or abstains on a semantical"
C2,Materials and Methods,Known Linguistic Failure Modes,33,56,0,0,0,exposition/transition,ok,"Future annotation should therefore preserve both item-level labels and adjudication provenance. At minimum, reviewers would mark extraction-unit validity, dominant role or abstention, directed relation support, source fa"
C2,Materials and Methods,Development Selection and Comparators,34,59,0,0,9,exposition/transition,ok,"The 12-report development search evaluated 144 registered configurations. Its ordered objective maximized mean ROUGE-L F1 at , then mean ROUGE-1 F1, lower redundancy, and earliest ledger position. Grid index 60 was selec"
C2,Materials and Methods,Development Selection and Comparators,35,41,1,0,3,literature/context,ok,"Seven frozen conditions share the same candidate space: Lead, lexical Centroid, TextRank, Semantic-MMR, Role, graph without CF (strict), and Full . Semantic-MMR uses a frozen local all-MiniLM-L6-v2 snapshot and greedily "
C2,Materials and Methods,Development Selection and Comparators,36,76,0,0,0,exposition/transition,ok,The comparator set is designed to expose distinct sources of performance. Lead tests positional structure. Centroid tests lexical representativeness. TextRank tests an untyped similarity graph. Semantic-MMR tests dense s
C2,Materials and Methods,Development Selection and Comparators,37,65,0,0,2,method/protocol,ok,"Hyperparameter opportunity is not balanced across all systems. Full inherited a 144-configuration development search, whereas the Semantic-MMR relevance/diversity coefficient was fixed at 0.5 and TextRank used its frozen"
C2,Materials and Methods,Development Selection and Comparators,38,74,0,0,0,exposition/transition,ok,Sentence-count budgets were chosen because every method can return exactly five or ten source units without truncating a selected unit. This improves procedural consistency but not informational equality: one extracted u
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,39,48,0,0,6,result/interpretation,ok,"The v0.3.1 freeze registers ROUGE-L F1 as primary and three Full-minus-baseline contrasts (strict no-CF, Semantic-MMR, TextRank) at each budget. Paired report-level percentile bootstrap intervals use 10,000 resamples. Fo"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,40,55,1,0,3,result/interpretation,ok,"Because these resamples are centered on the observed deltas rather than generated under a null, is a descriptive bootstrap sign-tail estimator, not a calibrated hypothesis-test value. The frozen machine values and their "
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,41,118,1,0,5,method/protocol,ok,"After the run, without rerunning any model or changing a prediction, we added an unregistered exact paired sign-flip sensitivity. For each contrast, all report-level sign assignments were enumerated and the two-sided val"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,42,39,0,0,4,exposition/transition,ok,"One authorized physical run produced 210 rows ( ). Independent post-run audit rehashed 31 frozen files, recalculated all 28 aggregate values and all six contrast records with maximum absolute discrepancy zero, and return"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,43,87,0,0,0,method/protocol,ok,"All feature channels are normalized within each report before weighted combination. This limits domination by raw report length or graph density, but it does not make scores comparable across unrelated corpora. Stable so"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,44,71,0,0,2,exposition/transition,ok,"The metric hierarchy treats Executive-Summary ROUGE-L F1 as the primary lexical-overlap outcome and ROUGE-1, ROUGE-2, and redundancy as descriptive secondary outcomes. ROUGE checks whether extracts recover wording presen"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,45,65,0,0,0,boundary/limitation,ok,"Three audit layers guard the evaluation. Input audits verify file hashes, report partitions, page boundaries, and leakage gates. Execution audits verify the expected condition--budget row set, stable identifiers, and sou"
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,46,79,0,0,1,exposition/transition,ok,Reproducibility is organized as a chain of identities rather than a single script. The source manifest binds document metadata and local hashes; the builder binds the retained candidate records and split; the freeze bind
C2,Materials and Methods,Frozen Evaluation and Statistical Interpretation,47,59,0,0,0,boundary/limitation,ok,The chain also separates scientific repeatability from distributability. An authorized reviewer with lawful access to the source documents can rebuild candidates and inspect selected text. A public reader can verify non-
C2,Materials and Methods,Post-Unblinding Development-Only Calibration,48,83,0,0,10,exposition/transition,ok,"After the v0.3.1 test result was revealed, a separate exploratory program evaluated 147 semantically deduplicated configurations using only the frozen 12-report development file (SHA-256 27CE41D...7F79). It varied counte"
C2,Materials and Methods,Post-Unblinding Development-Only Calibration,49,81,0,0,11,result/interpretation,ok,"Twelve leave-one-report-out development folds selected a zero-CF winner in 12/12 folds. The best nonzero candidate under the registered exploratory tie-break used weight 0.025, won 0/12 folds, and remained below strict z"
C2,Materials and Methods,Generative-AI Assistance and Verification Boundary,50,106,0,0,0,result/interpretation,support-check,"The OpenAI Codex agent interface was used to assist with prose drafting and editing, experiment and audit planning suggestions, Python and development and review, provenance-record preparation, and manuscript build and v"
C2,Results,Dataset and Execution Integrity,1,31,0,1,1,exposition/transition,short,"Table reports the principal audit quantities. Candidate page boundaries remained strictly after reference-summary pages for all 15 test reports, and every selected sentence ID/text pair matched its frozen source candidat"
C2,Results,Aggregate Test Results,2,83,0,0,5,exposition/transition,ok,"The 27 retained reports are a deliberately bounded subset of the 40 inspected PDFs. Exclusion was part of corpus construction, not missing-at-random attrition. Candidate extraction produced 12,924 units after reference/b"
C2,Results,Aggregate Test Results,3,72,0,0,1,boundary/limitation,ok,"The three zero leakage quantities address complementary failure modes. Page overlap tests the structural boundary, normalized equality catches a whole reference sentence repeated in the body, and the 50-character screen "
C2,Results,Aggregate Test Results,4,55,0,2,0,result/interpretation,ok,Table contains all seven conditions and four recorded metrics at both budgets. Full exceeded Semantic-MMR and TextRank on mean ROUGE-L at each equal-sentence budget but was below strict no-CF. Because extraction-unit len
C2,Results,Aggregate Test Results,5,87,0,0,4,exposition/transition,ok,"Increasing the budget from five to ten sentences raised mean ROUGE-L for every condition, as expected when more source content is admitted. The ordering was not identical across methods: Role moved from 0.0934 to 0.1257 "
C2,Results,Aggregate Test Results,6,72,0,0,2,exposition/transition,ok,"The secondary metrics support a similarly bounded interpretation. Strict no-CF had the largest observed ROUGE-1, ROUGE-2, and ROUGE-L mean at both budgets. Semantic-MMR had the lowest redundancy, but its shorter outputs "
C2,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,7,73,0,1,1,exposition/transition,ok,"Without rerunning selection or changing any prediction, a hash-pinned script counted Unicode whitespace-delimited words and Unicode characters in every selected unit of the immutable ledger. Supplementary Table S2 contai"
C2,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,8,43,0,1,6,exposition/transition,ok,"Figure makes the output-length mismatch visible. At , Full used 56 more words than Semantic-MMR and 63 more than TextRank on average; at , the corresponding increases were 61 and 54 . These ratios are derived only from t"
C2,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,9,96,0,0,11,exposition/transition,ok,"Full averaged 103.0 and 214.5 more words than Semantic-MMR at and , and 110.7 and 199.9 more than TextRank. Among its 225 selected-unit instances, 37 exceeded 100 words, 40 contained ``Table'', and the maximum was 270 wo"
C2,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,10,96,0,0,0,exposition/transition,ok,"A fair word-budget study would have to specify the budget before ranking, define how partially fitting units are handled, and apply an equivalent constraint to every comparator. It would also need a fresh development set"
C2,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,11,63,0,0,1,exposition/transition,ok,The long-unit counts locate a concrete extraction risk. Units exceeding 100 words and units containing ``Table'' show that PDF layout sometimes survives the sentence splitter as one selectable block. Such blocks can cont
C2,Results,Registered Contrasts,12,32,0,1,4,exposition/transition,short,"Table gives the six registered contrasts. Full minus strict no-CF was at and at ; both intervals crossed zero. Thus, neither development nor test evidence supports a lexical-overlap benefit from the counterfactual channe"
C2,Results,Registered Contrasts,13,77,0,0,6,result/interpretation,ok,"Full exceeded Semantic-MMR and TextRank at both equal-sentence budgets on this split, but the output-length audit shows that Full used substantially more words; no length-controlled superiority is claimed. The two regist"
C2,Results,Registered Contrasts,14,53,0,1,1,boundary/limitation,ok,"Table reports the unregistered post-run sensitivity. The exact values preserve the qualitative conclusion: the no-CF contrasts do not provide evidence of a positive counterfactual contribution, whereas the observed diffe"
C2,Results,Registered Contrasts,15,35,0,1,3,exposition/transition,ok,"Figure exposes every report-level difference. Full and strict no-CF selected different sentence sequences in 28 of 30 report--budget cells, and their base scores differed in all 30, confirming an active but not beneficia"
C2,Results,Registered Contrasts,16,70,0,0,2,exposition/transition,ok,"The signs clarify heterogeneity hidden by macro-means. Against strict no-CF, Full was positive and negative on equally many non-tied reports at , and negative on more reports at . Against Semantic-MMR and TextRank, posit"
C2,Results,Registered Contrasts,17,24,0,1,0,exposition/transition,short,"Table separates observations from the claims they can support. Successful software execution, proxy-benchmark overlap, component attribution, and operational usefulness require increasingly strong validation designs."
C2,Results,Computational Diagnostics,18,66,0,0,13,exposition/transition,ok,"Across 19,008 Full/no-CF sentence-score comparisons, 9774 were nonzero and the maximum absolute difference was 0.15. Maximum observed path expansions were 19,638 of the 2,000,000 cap, and maximum qualifying paths were 16"
C2,Results,Computational Diagnostics,19,77,0,0,2,exposition/transition,ok,"The separation between activity and efficacy is central. Nonzero score differences show that the path-deletion term was not silently disabled, while changed sequences in 28 of 30 cells show that it affected the downstrea"
C2,Results,Exploratory Development Calibration Result,20,92,0,0,10,boundary/limitation,ok,"The post-unblinding development-only calibration did not find a defensible nonzero counterfactual coefficient. Candidate C046, with zero counterfactual weight, won every one of the 12 leave-one-report-out folds. The best"
C2,Results,Exploratory Development Calibration Result,21,79,0,0,0,exposition/transition,ok,"This calibration narrows the plausible diagnosis. The formal negative contrast is unlikely to be repaired merely by selecting a smaller positive coefficient within the explored development grid, because strict zero won e"
C2,Results,Answers to the Research Questions,22,75,0,0,3,exposition/transition,ok,"For RQ1, the Full condition has higher mean Executive-Summary ROUGE-L than Semantic-MMR and TextRank at both registered sentence budgets, and the paired signs favor Full on most reports. This is a reproducible observatio"
C2,Results,Answers to the Research Questions,23,74,0,0,4,exposition/transition,ok,"For RQ2, the strict single-channel evidence is unfavorable. Full is lower than no-CF by 0.003332 at and 0.003360 at ; the intervals cross zero, report-level signs are mixed, and development-only calibration favors zero w"
C2,Results,Answers to the Research Questions,24,60,0,0,0,claim/contribution,ok,"For RQ3, the strongest supported contribution is auditability. Complete prediction rows, source correspondence, leakage gates, hashes, page locators, paired distributions, length diagnostics, and incident chronology can "
C2,Results,Answers to the Research Questions,25,58,0,0,0,exposition/transition,ok,"Taken together, the answers favor a mechanism-focused rather than application-success interpretation. The graph representation and perturbation are viable research objects, while the current integration and evaluation re"
C2,Discussion,Supported Interpretation,1,86,0,0,0,exposition/transition,ok,"The rebuild establishes a cleaner experimental object than R1: complete-PDF candidates, multi-level summary-leakage checks, a recorded development search, a path-based score distinct from degree, a Semantic-MMR baseline,"
C2,Discussion,Supported Interpretation,2,50,0,0,2,exposition/transition,ok,"System-level baseline differences should not be attributed to the named counterfactual mechanism. Strict no-CF produced the highest observed ROUGE-1, ROUGE-2, and ROUGE-L at both budgets, while the Full-minus-no-CF inter"
C2,Discussion,Causal and Counterfactual Boundaries,3,64,0,0,0,exposition/transition,ok,"The graph organizes text into role-conditioned paths. Direction and path score are reproducible hypotheses, not validated relations in grid physics. Node deletion measures the dependence of graph utility on one sentence;"
C2,Discussion,Causal and Counterfactual Boundaries,4,44,0,1,0,boundary/limitation,ok,"Figure summarizes this boundary. Each upward step requires evidence absent from the preceding one: length matching for a fair summarization comparison, external data for population transfer, and qualified users plus safe"
C2,Discussion,Maintenance-Workflow Transfer,5,59,0,0,0,boundary/limitation,ok,"NERC reliability and disturbance reports can inform maintenance-oriented lessons-learned review, but work orders and inspection records differ in vocabulary, length, asset granularity, narrative structure, and reference-"
C2,Discussion,Maintenance-Workflow Transfer,6,58,0,0,0,exposition/transition,ok,The most defensible near-term role is decision support for source navigation. An extract can direct an engineer to candidate passages while the original report remains authoritative. Deployment would additionally require
C2,Discussion,Limitations,7,132,0,0,3,exposition/transition,ok,"The test set contains only 15 selected public reports from one organization and derives from a population inspected during corrective reconstruction. Official Executive Summaries are long references, and ROUGE/redundancy"
C2,Discussion,Limitations,8,69,0,0,4,boundary/limitation,ok,Post hoc tuning after seeing these results cannot rehabilitate the current test as confirmatory. The completed 147-configuration development-only calibration selected zero CF in all 12 folds and did not support its best 
C2,Discussion,Future Validation,9,67,0,0,0,boundary/limitation,ok,Future work should freeze a license-cleared corpus of work orders or maintenance narratives at report or site level and create an untouched external holdout. Qualified power-grid personnel should independently score sour
C2,Discussion,Future Validation,10,75,0,0,0,method/protocol,ok,"The next protocol should compare fixed sentence and fixed word budgets, include a layout-aware extraction baseline, and give all learned or tuned systems comparable development resources. A hierarchical analysis can sepa"
C2,Conclusions,,1,57,0,0,0,method/protocol,ok,"was rebuilt as a deterministic, auditable extractive method for long power-system technical reports. Its typed role graph, path-deletion perturbation, stable selector, complete-PDF candidate construction, and multi-level"
C2,Conclusions,,2,75,0,0,7,boundary/limitation,ok,"On 15 test reports, Full achieved Executive-Summary ROUGE-L F1 of 0.1060 and 0.1276 at five and ten sentences. These means exceeded Semantic-MMR and TextRank under equal sentence counts. Full nevertheless averaged 103.0/"
C2,Conclusions,,3,83,0,0,2,result/interpretation,ok,"The named counterfactual channel did not deliver the hypothesized gain. Full was below strict no-CF by approximately 0.0033 at both budgets, both paired bootstrap intervals crossed zero, and a post-unblinding development"
C2,Conclusions,,4,82,0,0,0,boundary/limitation,ok,"The contribution is an auditable method, a traceable proxy benchmark, and a calibrated evidence boundary. It does not establish real-world causal identification, summary safety, maintenance-work-order effectiveness, or o"
C2,Conclusions,,5,120,0,0,8,exposition/transition,ok,The final-candidate manifest separates transferable non-verbatim material from a restricted-local compartment. The transferable set contains the 40-report rights-safe inventory; six exact sign-flip records; complete post
