paper,section,subsection,paragraph,words,citations,crossrefs,numeric_tokens,role,mechanical_flag,opening
C2GES_P60_WORK,Materials and Methods,Scoring and Selection,28,124,0,0,2,exposition/transition,ok,"The output is designed for source navigation rather than stand-alone decision support. The frozen prediction record preserves report ID and sentence ID; a deterministic, non-verbatim locator ledger joins those identifier"
C2GES_P60_WORK,Materials and Methods,Known Linguistic Failure Modes,29,133,0,0,2,exposition/transition,ok,"No qualified experts supplied role or relation gold labels. Accordingly, Table 1 is a summary of executable behavior rather than validated semantic annotation; the exact lexicon, normalization, transitions, and tests are"
C2GES_P60_WORK,Materials and Methods,Known Linguistic Failure Modes,30,87,0,0,0,boundary/limitation,ok,"The taxonomy separates errors at four layers. A segmentation error produces an extraction unit that fuses prose with a table, heading, or footnote. A role error assigns the wrong dominant role or abstains on a semantical"
C2GES_P60_WORK,Materials and Methods,Known Linguistic Failure Modes,31,56,0,0,0,exposition/transition,ok,"Future annotation should therefore preserve both item-level labels and adjudication provenance. At minimum, reviewers would mark extraction-unit validity, dominant role or abstention, directed relation support, source fa"
C2GES_P60_WORK,Materials and Methods,Development Selection and Comparators,32,59,0,0,9,exposition/transition,ok,"The 12-report development search evaluated 144 registered configurations. Its ordered objective maximized mean ROUGE-L F1 at , then mean ROUGE-1 F1, lower redundancy, and earliest ledger position. Grid index 60 was selec"
C2GES_P60_WORK,Materials and Methods,Development Selection and Comparators,33,41,1,0,3,literature/context,ok,"Seven frozen conditions share the same candidate space: Lead, lexical Centroid, TextRank, Semantic-MMR, Role, graph without CF (strict), and Full . Semantic-MMR uses a frozen local all-MiniLM-L6-v2 snapshot and greedily "
C2GES_P60_WORK,Materials and Methods,Development Selection and Comparators,34,76,0,0,0,exposition/transition,ok,The comparator set is designed to expose distinct sources of performance. Lead tests positional structure. Centroid tests lexical representativeness. TextRank tests an untyped similarity graph. Semantic-MMR tests dense s
C2GES_P60_WORK,Materials and Methods,Development Selection and Comparators,35,65,0,0,2,method/protocol,ok,"Hyperparameter opportunity is not balanced across all systems. Full inherited a 144-configuration development search, whereas the Semantic-MMR relevance/diversity coefficient was fixed at 0.5 and TextRank used its frozen"
C2GES_P60_WORK,Materials and Methods,Development Selection and Comparators,36,74,0,0,0,exposition/transition,ok,Sentence-count budgets were chosen because every method can return exactly five or ten source units without truncating a selected unit. This improves procedural consistency but not informational equality: one extracted u
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,37,48,0,0,6,result/interpretation,ok,"The v0.3.1 freeze registers ROUGE-L F1 as primary and three Full-minus-baseline contrasts (strict no-CF, Semantic-MMR, TextRank) at each budget. Paired report-level percentile bootstrap intervals use 10,000 resamples. Fo"
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,38,55,1,0,3,result/interpretation,ok,"Because these resamples are centered on the observed deltas rather than generated under a null, is a descriptive bootstrap sign-tail estimator, not a calibrated hypothesis-test value. The frozen machine values and their "
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,39,118,1,0,5,method/protocol,ok,"After the run, without rerunning any model or changing a prediction, we added an unregistered exact paired sign-flip sensitivity. For each contrast, all report-level sign assignments were enumerated and the two-sided val"
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,40,39,0,0,4,exposition/transition,ok,"One authorized physical run produced 210 rows ( ). Independent post-run audit rehashed 31 frozen files, recalculated all 28 aggregate values and all six contrast records with maximum absolute discrepancy zero, and return"
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,41,79,0,0,1,exposition/transition,ok,Reproducibility is organized as a chain of identities rather than a single script. The source manifest binds document metadata and local hashes; the builder binds the retained candidate records and split; the freeze bind
C2GES_P60_WORK,Materials and Methods,Frozen Evaluation and Statistical Interpretation,42,59,0,0,0,boundary/limitation,ok,The chain also separates scientific repeatability from distributability. An authorized reviewer with lawful access to the source documents can rebuild candidates and inspect selected text. A public reader can verify non-
C2GES_P60_WORK,Materials and Methods,Post-Unblinding Development-Only Calibration,43,83,0,0,10,exposition/transition,ok,"After the v0.3.1 test result was revealed, a separate exploratory program evaluated 147 semantically deduplicated configurations using only the frozen 12-report development file (SHA-256 27CE41D...7F79). It varied counte"
C2GES_P60_WORK,Materials and Methods,Post-Unblinding Development-Only Calibration,44,81,0,0,11,result/interpretation,ok,"Twelve leave-one-report-out development folds selected a zero-CF winner in 12/12 folds. The best nonzero candidate under the registered exploratory tie-break used weight 0.025, won 0/12 folds, and remained below strict z"
C2GES_P60_WORK,Materials and Methods,Generative-AI Assistance and Verification Boundary,45,106,0,0,0,result/interpretation,support-check,"The OpenAI Codex agent interface was used to assist with prose drafting and editing, experiment and audit planning suggestions, Python and development and review, provenance-record preparation, and manuscript build and v"
C2GES_P60_WORK,Results,Dataset and Execution Integrity,1,31,0,1,1,exposition/transition,short,"Table reports the principal audit quantities. Candidate page boundaries remained strictly after reference-summary pages for all 15 test reports, and every selected sentence ID/text pair matched its frozen source candidat"
C2GES_P60_WORK,Results,Aggregate Test Results,2,55,0,2,0,result/interpretation,ok,Table contains all seven conditions and four recorded metrics at both budgets. Full exceeded Semantic-MMR and TextRank on mean ROUGE-L at each equal-sentence budget but was below strict no-CF. Because extraction-unit len
C2GES_P60_WORK,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,3,73,0,1,1,exposition/transition,ok,"Without rerunning selection or changing any prediction, a hash-pinned script counted Unicode whitespace-delimited words and Unicode characters in every selected unit of the immutable ledger. Supplementary Table S2 contai"
C2GES_P60_WORK,Results,Post-Run Output-Length and Extraction-Unit Diagnostics,4,96,0,0,11,exposition/transition,ok,"Full averaged 103.0 and 214.5 more words than Semantic-MMR at and , and 110.7 and 199.9 more than TextRank. Among its 225 selected-unit instances, 37 exceeded 100 words, 40 contained ``Table'', and the maximum was 270 wo"
C2GES_P60_WORK,Results,Registered Contrasts,5,32,0,1,4,exposition/transition,short,"Table gives the six registered contrasts. Full minus strict no-CF was at and at ; both intervals crossed zero. Thus, neither development nor test evidence supports a lexical-overlap benefit from the counterfactual channe"
C2GES_P60_WORK,Results,Registered Contrasts,6,77,0,0,6,result/interpretation,ok,"Full exceeded Semantic-MMR and TextRank at both equal-sentence budgets on this split, but the output-length audit shows that Full used substantially more words; no length-controlled superiority is claimed. The two regist"
C2GES_P60_WORK,Results,Registered Contrasts,7,53,0,1,1,boundary/limitation,ok,"Table reports the unregistered post-run sensitivity. The exact values preserve the qualitative conclusion: the no-CF contrasts do not provide evidence of a positive counterfactual contribution, whereas the observed diffe"
C2GES_P60_WORK,Results,Registered Contrasts,8,35,0,1,3,exposition/transition,ok,"Figure exposes every report-level difference. Full and strict no-CF selected different sentence sequences in 28 of 30 report--budget cells, and their base scores differed in all 30, confirming an active but not beneficia"
C2GES_P60_WORK,Results,Computational Diagnostics,9,66,0,0,13,exposition/transition,ok,"Across 19,008 Full/no-CF sentence-score comparisons, 9774 were nonzero and the maximum absolute difference was 0.15. Maximum observed path expansions were 19,638 of the 2,000,000 cap, and maximum qualifying paths were 16"
C2GES_P60_WORK,Results,Exploratory Development Calibration Result,10,92,0,0,10,boundary/limitation,ok,"The post-unblinding development-only calibration did not find a defensible nonzero counterfactual coefficient. Candidate C046, with zero counterfactual weight, won every one of the 12 leave-one-report-out folds. The best"
C2GES_P60_WORK,Discussion,Supported Interpretation,1,86,0,0,0,exposition/transition,ok,"The rebuild establishes a cleaner experimental object than R1: complete-PDF candidates, multi-level summary-leakage checks, a recorded development search, a path-based score distinct from degree, a Semantic-MMR baseline,"
C2GES_P60_WORK,Discussion,Supported Interpretation,2,50,0,0,2,exposition/transition,ok,"System-level baseline differences should not be attributed to the named counterfactual mechanism. Strict no-CF produced the highest observed ROUGE-1, ROUGE-2, and ROUGE-L at both budgets, while the Full-minus-no-CF inter"
C2GES_P60_WORK,Discussion,Causal and Counterfactual Boundaries,3,64,0,0,0,exposition/transition,ok,"The graph organizes text into role-conditioned paths. Direction and path score are reproducible hypotheses, not validated relations in grid physics. Node deletion measures the dependence of graph utility on one sentence;"
C2GES_P60_WORK,Discussion,Maintenance-Workflow Transfer,4,59,0,0,0,boundary/limitation,ok,"NERC reliability and disturbance reports can inform maintenance-oriented lessons-learned review, but work orders and inspection records differ in vocabulary, length, asset granularity, narrative structure, and reference-"
C2GES_P60_WORK,Discussion,Limitations,5,132,0,0,3,exposition/transition,ok,"The test set contains only 15 selected public reports from one organization and derives from a population inspected during corrective reconstruction. Official Executive Summaries are long references, and ROUGE/redundancy"
C2GES_P60_WORK,Discussion,Limitations,6,69,0,0,4,boundary/limitation,ok,Post hoc tuning after seeing these results cannot rehabilitate the current test as confirmatory. The completed 147-configuration development-only calibration selected zero CF in all 12 folds and did not support its best 
C2GES_P60_WORK,Discussion,Future Validation,7,67,0,0,0,boundary/limitation,ok,Future work should freeze a license-cleared corpus of work orders or maintenance narratives at report or site level and create an untouched external holdout. Qualified power-grid personnel should independently score sour
C2GES_P60_WORK,Conclusions,,1,176,0,0,9,result/interpretation,ok,"is rebuilt as a deterministic, auditable extractive method evaluated on full NERC technical reports. The exact title names an aspirational maintenance application, not a validated population. The typed path-deletion scor"
C2GES_P60_WORK,Conclusions,,2,120,0,0,8,exposition/transition,ok,The final-candidate manifest separates transferable non-verbatim material from a restricted-local compartment. The transferable set contains the 40-report rights-safe inventory; six exact sign-flip records; complete post
