claim_id,source_id,evidence_locator,support_relation,verification_status,exact_claim,scope_or_limitation
LIT-C06,ref25,Original article title abstract and review scope,METHOD_SUPPORT,VERIFIED,Out-of-sample forecast evaluation requires explicit origin and test design,General methodological source
LIT-C06,ref26,Original article abstract and conclusions,METHOD_SUPPORT,VERIFIED,Time-series cross-validation validity depends on model and serial-dependence conditions,Rejects a blanket statement that all random folds necessarily leak
LIT-C06,ref27,Original article abstract and measure analysis,METHOD_SUPPORT,VERIFIED,Common accuracy measures can be degenerate and percentage errors are problematic near zero,Supports metric caution rather than a dataset-specific threshold
LIT-C06,ref28,Original article method,METHOD_SUPPORT,VERIFIED,Diebold-Mariano tests equality of predictive accuracy,The current exact paired block test is not a DM test
LIT-C06,ref8,Original open-access article Sections 3-4,METHOD_SUPPORT,VERIFIED,Evaluation guidance covers competitive baselines partitioning leakage measures and statistical tests,Does not mandate this project's exact multiplicity family
LIT-C07,ref6,Original PLOS article results,EMPIRICAL_SUPPORT,VERIFIED,Evaluated statistical methods outperformed evaluated ML methods on M3,Scoped to M3 and compared methods
LIT-C07,ref7,Original M4 report abstract methods and result tables,EMPIRICAL_SUPPORT,VERIFIED,M4 evaluated 61 methods on 100000 series and the leading point forecaster was hybrid,Does not establish universal hybrid superiority
LIT-C07,ref5,Original AAAI paper abstract and model description,EMPIRICAL_SUPPORT,VERIFIED,Simple linear-family baselines including decomposed DLinear beat the compared Transformers on nine LTSF datasets,Does not establish load-domain superiority
LIT-C08,ref29,Primary paper and DOI record,DATA_SUPPORT,VERIFIED,Open Power System Data is a documented public electricity-data platform,Exact local package and processing require the project manifest
LIT-C08,ref30,Primary article and DOI record,DATA_SUPPORT,VERIFIED,SimBench supplies benchmark grids and profiles for power-system analysis,The local 8-series hourly forecasting transformation is project-specific
LIT-C09,map_gcn,Original ICLR/arXiv paper Equation 2 and propagation rule,FOUNDATIONAL_SUPPORT,VERIFIED,A standard GCN conditions feature propagation on adjacency using a normalized first-order spectral approximation,Node classification source not load forecasting
LIT-C10,map_hnn,Original NeurIPS/arXiv paper Sections 2-3,FOUNDATIONAL_SUPPORT,VERIFIED,Hyperbolic neural layers require manifold-aware maps and operations rather than only a hyperbolic distance score,Defines Poincare operations but not a graph convolution
LIT-C10,map_hgcn,Original NeurIPS/OpenReview paper Sections 3-4,FOUNDATIONAL_SUPPORT,VERIFIED,HGCN maps Euclidean inputs to hyperbolic space and performs transformations and neighborhood aggregation with layerwise trainable curvature,Its node/link results do not support load forecasting
LIT-C11,map_loadgnn,Original arXiv abstract and study design,NEARBY_SUPPORT,VERIFIED,Regional electricity forecasting can compare inferred graphs with GCN and GraphSAGE,Preprint and French-region scope retained
LIT-C11,map_atstgcn,Primary article abstract and data-preprocessing section,NEARBY_SUPPORT,VERIFIED,ATSTGCN builds edges from grey-relation coefficients for regional integrated-energy loads,Two-year campus task differs from this project
LIT-C11,ref31,Accepted manuscript abstract and baseline description,COUNTEREXAMPLE,VERIFIED,A learnable appliance adjacency is compared with zero equal-0.5 and random fixed adjacency matrices,Precludes claiming fixed graph controls are absent
LIT-C11,ref32,Author preprint abstract and benchmark results,COUNTEREXAMPLE,VERIFIED,Inferred-graph STGNN gains are reported at residential but not aggregate level,Precludes universal graph-benefit claims
LIT-C12,ref33,Original PVLDB paper abstract and benchmark design,EVALUATION_SUPPORT,VERIFIED,TFB uses broad datasets diverse methods and a consistent comparison pipeline,Not a source for seed-level uncertainty or Holm correction
LIT-C12,map_linearpp,Official NeurIPS workshop page and paper abstract,EVALUATION_SUPPORT,VERIFIED,Validation-tuned linear regression with RevIN can be a strong forecasting baseline,Workshop result and foundation-model benchmarks are not load-specific
LIT-C13,map_hgcn,Original paper task and results,SCOPE_CONTRADICTION,VERIFIED,Published HGCN evidence covers node classification and link prediction rather than power-load forecasting,No load advantage can be inferred
LIT-C13,ref32,Author preprint aggregate result,SCOPE_CONTRADICTION,VERIFIED,Graph benefit is not observed at the aggregate level in this benchmark,Negative result must remain visible
LIT-C14,ALL_SEARCHED,SEARCH_LOG.json and this matrix,BOUNDARY,VERIFIED,The search is targeted and reproducible enough to map nearby sources,It is not systematic exhaustive or sufficient to establish novelty priority or absence
