question_id,order_sensitive,top_k,limit,order_by_clause,projection_count,order_term_count,machine_class,automatic_primary_eligible,rationale
Q060,True,False,,a.asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q061,True,False,,a.asset_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q062,True,False,,t.technician_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q063,True,False,,scheduled_date,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q064,True,False,,a.asset_name,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q065,True,False,,asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q066,True,False,,work_order_id,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q067,True,False,,log_id,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q068,True,False,,t.type_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q069,True,False,,a.asset_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q070,True,False,,edge_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q071,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q073,True,False,,t.technician_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q074,True,True,1,avg_capacity_mw DESC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q075,True,False,,compact_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q076,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q077,True,False,,a.asset_name,1,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q079,True,False,,"edge_count DESC, u.asset_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q080,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q099,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q100,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q101,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q102,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q103,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q104,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q105,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q106,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q107,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q108,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q109,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q110,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q111,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q112,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q113,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q114,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q115,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q116,True,False,,w.work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q117,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q118,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q119,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q120,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q121,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q122,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q123,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q124,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q125,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q126,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q127,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q128,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q129,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q130,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q139,True,False,,"a.asset_name, s.reading_time",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q140,True,False,,"a.asset_name, s.reading_time",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q141,True,False,,"a.asset_name, s.reading_time",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q142,True,False,,"a.asset_name, s.reading_time",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q155,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q156,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q157,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q158,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q159,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q160,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q161,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q162,True,False,,"w.scheduled_date, w.work_order_id",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q163,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q164,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q165,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q166,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q167,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q168,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q169,True,False,,g.edge_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q170,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q171,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q172,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q173,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q174,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q175,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q176,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q177,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q178,True,False,,work_order_id,4,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q200,True,True,1,"alarm_count DESC, t.type_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
